Script started on 2026-04-22 16:06:13+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && { /usr/bin/time -p sudo PYTHONPATH=. python3 -u main.py --mode client --config config_phase1.json --file ./gdrive-folder/test_1gb_file; } 2>&1" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[CLIENT] running on 172.31.64.201:50000
[CLIENT] talking to server 172.31.77.14:50000
[CLIENT] requested file: ./gdrive-folder/test_1gb_file
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 7
[CLIENT] sent ACK 89
[CLIENT] sent ACK 89
[CLIENT] sent ACK 89
[CLIENT] sent ACK 89
[CLIENT] sent ACK 268
[CLIENT] sent ACK 268
[CLIENT] sent ACK 268
[CLIENT] sent ACK 268
[CLIENT] sent ACK 268
[CLIENT] sent ACK 268
[CLIENT] sent ACK 268
[CLIENT] sent ACK 284
[CLIENT] sent ACK 284
[CLIENT] sent ACK 352
[CLIENT] sent ACK 352
[CLIENT] sent ACK 352
[CLIENT] sent ACK 448
[CLIENT] sent ACK 448
[CLIENT] sent ACK 448
[CLIENT] sent ACK 448
[CLIENT] sent ACK 534
[CLIENT] sent ACK 534
[CLIENT] sent ACK 534
[CLIENT] sent ACK 534
[CLIENT] sent ACK 636
[CLIENT] sent ACK 636
[CLIENT] sent ACK 636
[CLIENT] sent ACK 636
[CLIENT] sent ACK 720
[CLIENT] sent ACK 720
[CLIENT] sent ACK 720
[CLIENT] sent ACK 720
[CLIENT] sent ACK 785
[CLIENT] sent ACK 785
[CLIENT] sent ACK 785
[CLIENT] sent ACK 958
[CLIENT] sent ACK 958
[CLIENT] sent ACK 958
[CLIENT] sent ACK 958
[CLIENT] sent ACK 958
[CLIENT] sent ACK 958
[CLIENT] sent ACK 958
[CLIENT] sent ACK 1041
[CLIENT] sent ACK 1041
[CLIENT] sent ACK 1041
[CLIENT] sent ACK 1178
[CLIENT] sent ACK 1178
[CLIENT] sent ACK 1178
[CLIENT] sent ACK 1178
[CLIENT] sent ACK 1178
[CLIENT] sent ACK 1270
[CLIENT] sent ACK 1270
[CLIENT] sent ACK 1270
[CLIENT] sent ACK 1270
[CLIENT] sent ACK 1351
[CLIENT] sent ACK 1351
[CLIENT] sent ACK 1351
[CLIENT] sent ACK 1441
[CLIENT] sent ACK 1441
[CLIENT] sent ACK 1441
[CLIENT] sent ACK 1441
[CLIENT] sent ACK 1559
[CLIENT] sent ACK 1559
[CLIENT] sent ACK 1559
[CLIENT] sent ACK 1559
[CLIENT] sent ACK 1559
[CLIENT] sent ACK 1630
[CLIENT] sent ACK 1630
[CLIENT] sent ACK 1630
[CLIENT] sent ACK 1740
[CLIENT] sent ACK 1740
[CLIENT] sent ACK 1740
[CLIENT] sent ACK 1740
[CLIENT] sent ACK 1829
[CLIENT] sent ACK 1829
[CLIENT] sent ACK 1829
[CLIENT] sent ACK 1829
[CLIENT] sent ACK 1904
[CLIENT] sent ACK 1904
[CLIENT] sent ACK 1904
[CLIENT] sent ACK 1997
[CLIENT] sent ACK 1997
[CLIENT] sent ACK 1997
[CLIENT] sent ACK 1997
[CLIENT] sent ACK 2074
[CLIENT] sent ACK 2074
[CLIENT] sent ACK 2074
[CLIENT] sent ACK 2182
[CLIENT] sent ACK 2182
[CLIENT] sent ACK 2182
[CLIENT] sent ACK 2182
[CLIENT] sent ACK 2247
[CLIENT] sent ACK 2247
[CLIENT] sent ACK 2247
[CLIENT] sent ACK 2311
[CLIENT] sent ACK 2311
[CLIENT] sent ACK 2311
[CLIENT] sent ACK 2394
[CLIENT] sent ACK 2394
[CLIENT] sent ACK 2394
[CLIENT] sent ACK 2411
[CLIENT] sent ACK 2476
[CLIENT] sent ACK 2476
[CLIENT] sent ACK 2476
[CLIENT] sent ACK 2541
[CLIENT] sent ACK 2541
[CLIENT] sent ACK 2541
[CLIENT] sent ACK 2624
[CLIENT] sent ACK 2624
[CLIENT] sent ACK 2624
[CLIENT] sent ACK 2779
[CLIENT] sent ACK 2779
[CLIENT] sent ACK 2779
[CLIENT] sent ACK 2779
[CLIENT] sent ACK 2779
[CLIENT] sent ACK 2779
[CLIENT] sent ACK 2867
[CLIENT] sent ACK 2867
[CLIENT] sent ACK 2867
[CLIENT] sent ACK 2867
[CLIENT] sent ACK 2974
[CLIENT] sent ACK 2974
[CLIENT] sent ACK 2974
[CLIENT] sent ACK 2974
[CLIENT] sent ACK 3156
[CLIENT] sent ACK 3156
[CLIENT] sent ACK 3156
[CLIENT] sent ACK 3156
[CLIENT] sent ACK 3156
[CLIENT] sent ACK 3156
[CLIENT] sent ACK 3156
[CLIENT] sent ACK 3220
[CLIENT] sent ACK 3220
[CLIENT] sent ACK 3220
[CLIENT] sent ACK 3295
[CLIENT] sent ACK 3295
[CLIENT] sent ACK 3295
[CLIENT] sent ACK 3365
[CLIENT] sent ACK 3365
[CLIENT] sent ACK 3365
[CLIENT] sent ACK 3451
[CLIENT] sent ACK 3451
[CLIENT] sent ACK 3451
[CLIENT] sent ACK 3451
[CLIENT] sent ACK 3532
