Script started on 2026-04-22 15:59:42+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && { /usr/bin/time -p sudo PYTHONPATH=. python3 -u main.py --mode client --config config_phase1.json --file ./gdrive-folder/test_800mb_file; } 2>&1" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[CLIENT] running on 172.31.64.201:50000
[CLIENT] talking to server 172.31.77.14:50000
[CLIENT] requested file: ./gdrive-folder/test_800mb_file
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 11
[CLIENT] sent ACK 90
[CLIENT] sent ACK 90
[CLIENT] sent ACK 90
[CLIENT] sent ACK 90
[CLIENT] sent ACK 162
[CLIENT] sent ACK 162
[CLIENT] sent ACK 162
[CLIENT] sent ACK 167
[CLIENT] sent ACK 298
[CLIENT] sent ACK 298
[CLIENT] sent ACK 298
[CLIENT] sent ACK 298
[CLIENT] sent ACK 298
[CLIENT] sent ACK 298
[CLIENT] sent ACK 375
[CLIENT] sent ACK 375
[CLIENT] sent ACK 375
[CLIENT] sent ACK 375
[CLIENT] sent ACK 449
[CLIENT] sent ACK 449
[CLIENT] sent ACK 449
[CLIENT] sent ACK 449
[CLIENT] sent ACK 554
[CLIENT] sent ACK 554
[CLIENT] sent ACK 554
[CLIENT] sent ACK 554
[CLIENT] sent ACK 554
[CLIENT] sent ACK 624
[CLIENT] sent ACK 624
[CLIENT] sent ACK 624
[CLIENT] sent ACK 772
[CLIENT] sent ACK 772
[CLIENT] sent ACK 772
[CLIENT] sent ACK 772
[CLIENT] sent ACK 772
[CLIENT] sent ACK 772
[CLIENT] sent ACK 772
[CLIENT] sent ACK 855
[CLIENT] sent ACK 855
[CLIENT] sent ACK 855
[CLIENT] sent ACK 855
[CLIENT] sent ACK 922
[CLIENT] sent ACK 922
[CLIENT] sent ACK 922
[CLIENT] sent ACK 996
[CLIENT] sent ACK 996
[CLIENT] sent ACK 996
[CLIENT] sent ACK 996
[CLIENT] sent ACK 1081
[CLIENT] sent ACK 1081
[CLIENT] sent ACK 1081
[CLIENT] sent ACK 1081
[CLIENT] sent ACK 1145
[CLIENT] sent ACK 1145
[CLIENT] sent ACK 1145
[CLIENT] sent ACK 1246
[CLIENT] sent ACK 1246
[CLIENT] sent ACK 1246
[CLIENT] sent ACK 1246
[CLIENT] sent ACK 1246
[CLIENT] sent ACK 1327
[CLIENT] sent ACK 1327
[CLIENT] sent ACK 1327
[CLIENT] sent ACK 1327
[CLIENT] sent ACK 1455
[CLIENT] sent ACK 1455
[CLIENT] sent ACK 1455
[CLIENT] sent ACK 1455
[CLIENT] sent ACK 1455
[CLIENT] sent ACK 1455
[CLIENT] sent ACK 1578
[CLIENT] sent ACK 1578
[CLIENT] sent ACK 1578
[CLIENT] sent ACK 1578
[CLIENT] sent ACK 1578
[CLIENT] sent ACK 1598
[CLIENT] sent ACK 1678
[CLIENT] sent ACK 1678
[CLIENT] sent ACK 1678
[CLIENT] sent ACK 1678
[CLIENT] sent ACK 1854
[CLIENT] sent ACK 1854
[CLIENT] sent ACK 1854
[CLIENT] sent ACK 1854
[CLIENT] sent ACK 1854
[CLIENT] sent ACK 1854
[CLIENT] sent ACK 1854
[CLIENT] sent ACK 1854
[CLIENT] sent ACK 1925
[CLIENT] sent ACK 1925
[CLIENT] sent ACK 1925
[CLIENT] sent ACK 1971
[CLIENT] sent ACK 2018
[CLIENT] sent ACK 2018
[CLIENT] sent ACK 2075
[CLIENT] sent ACK 2075
[CLIENT] sent ACK 2083
[CLIENT] sent ACK 2083
[CLIENT] sent ACK 2153
[CLIENT] sent ACK 2153
[CLIENT] sent ACK 2153
[CLIENT] sent ACK 2163
[CLIENT] sent ACK 2330
[CLIENT] sent ACK 2330
[CLIENT] sent ACK 2330
[CLIENT] sent ACK 2330
[CLIENT] sent ACK 2330
[CLIENT] sent ACK 2330
[CLIENT] sent ACK 2330
[CLIENT] sent ACK 2439
[CLIENT] sent ACK 2439
[CLIENT] sent ACK 2439
[CLIENT] sent ACK 2439
[CLIENT] sent ACK 2538
[CLIENT] sent ACK 2538
[CLIENT] sent ACK 2538
[CLIENT] sent ACK 2538
[CLIENT] sent ACK 2538
[CLIENT] sent ACK 2615
[CLIENT] sent ACK 2615
[CLIENT] sent ACK 2615
[CLIENT] sent ACK 2615
[CLIENT] sent ACK 2711
[CLIENT] sent ACK 2711
[CLIENT] sent ACK 2711
[CLIENT] sent ACK 2711
[CLIENT] sent ACK 2791
[CLIENT] sent ACK 2791
[CLIENT] sent ACK 2791
[CLIENT] sent ACK 2791
[CLIENT] sent ACK 2922
[CLIENT] sent ACK 2922
[CLIENT] sent ACK 2922
[CLIENT] sent ACK 2922
[CLIENT] sent ACK 2922
[CLIENT] sent ACK 2922
[CLIENT] sent ACK 3131
[CLIENT] sent ACK 3131
[CLIENT] sent ACK 3131
[CLIENT] sent ACK 3131
[CLIENT] sent ACK 3131
[CLIENT] sent ACK 3131
[CLIENT] sent ACK 3131
[CLIENT] sent ACK 3131
[CLIENT] sent ACK 3131
[CLIENT] sent ACK 3209
[CLIENT] sent ACK 3209
[CLIENT] sent ACK 3209
[CLIENT] sent ACK 3209
[CLIENT] sent ACK 3290
[CLIENT] sent ACK 3290
[CLIENT] sent ACK 3290
[CLIENT] sent ACK 3290
[CLIENT] sent ACK 3357
[CLIENT] sent ACK 3357
[CLIENT] sent ACK 3357
[CLIENT] sent ACK 3561
[CLIENT] sent ACK 3561
[CLIENT] sent ACK 3561
[CLIENT] sent ACK 3561
[CLIENT] sent ACK 3561
[CLIENT] sent ACK 3561
[CLIENT] sent ACK 3561
[CLIENT] sent ACK 3561
[CLIENT] sent ACK 3561
[CLIENT] sent ACK 3571
[CLIENT] sent ACK 3637
[CLIENT] sent ACK 3637
[CLIENT] sent ACK 3637
[CLIENT] sent ACK 3707
[CLIENT] sent ACK 3707
[CLIENT] sent ACK 3707
[CLIENT] sent ACK 3775
[CLIENT] sent ACK 3775
[CLIENT] sent ACK 3775
[CLIENT] sent ACK 3775
[CLIENT] sent ACK 3876
[CLIENT] sent ACK 3876
[CLIENT] sent ACK 3876
[CLIENT] sent ACK 3876
[CLIENT] sent ACK 3876
[CLIENT] sent ACK 3944
[CLIENT] sent ACK 3944
[CLIENT] sent ACK 3944
[CLIENT] sent ACK 4023
[CLIENT] sent ACK 4023
[CLIENT] sent ACK 4023
[CLIENT] sent ACK 4023
[CLIENT] sent ACK 4091
[CLIENT] sent ACK 4091
[CLIENT] sent ACK 4091
[CLIENT] sent ACK 4157
[CLIENT] sent ACK 4157
[CLIENT] sent ACK 4157
[CLIENT] sent ACK 4255
[CLIENT] sent ACK 4255
[CLIENT] sent ACK 4255
[CLIENT] sent ACK 4255
[CLIENT] sent ACK 4255
[CLIENT] sent ACK 4448
[CLIENT] sent ACK 4448
[CLIENT] sent ACK 4448
[CLIENT] sent ACK 4448
[CLIENT] sent ACK 4448
[CLIENT] sent ACK 4448
[CLIENT] sent ACK 4448
[CLIENT] sent ACK 4448
[CLIENT] sent ACK 4514
[CLIENT] sent ACK 4514
[CLIENT] sent ACK 4514
[CLIENT] sent ACK 4592
[CLIENT] sent ACK 4592
[CLIENT] sent ACK 4592
[CLIENT] sent ACK 4592
[CLIENT] sent ACK 4658
[CLIENT] sent ACK 4658
[CLIENT] sent ACK 4658
[CLIENT] sent ACK 4762
[CLIENT] sent ACK 4762
[CLIENT] sent ACK 4762
[CLIENT] sent ACK 4762
[CLIENT] sent ACK 4762
[CLIENT] sent ACK 4840
[CLIENT] sent ACK 4840
[CLIENT] sent ACK 4840
[CLIENT] sent ACK 4840
[CLIENT] sent ACK 4953
[CLIENT] sent ACK 4953
[CLIENT] sent ACK 4953
[CLIENT] sent ACK 4953
[CLIENT] sent ACK 4953
[CLIENT] sent ACK 5035
[CLIENT] sent ACK 5035
[CLIENT] sent ACK 5035
[CLIENT] sent ACK 5035
[CLIENT] sent ACK 5100
[CLIENT] sent ACK 5100
[CLIENT] sent ACK 5100
[CLIENT] sent ACK 5159
[CLIENT] sent ACK 5159
[CLIENT] sent ACK 5159
[CLIENT] sent ACK 5229
[CLIENT] sent ACK 5229
[CLIENT] sent ACK 5229
[CLIENT] sent ACK 5297
[CLIENT] sent ACK 5297
[CLIENT] sent ACK 5297
[CLIENT] sent ACK 5361
[CLIENT] sent ACK 5361
[CLIENT] sent ACK 5361
[CLIENT] sent ACK 5479
[CLIENT] sent ACK 5479
[CLIENT] sent ACK 5479
[CLIENT] sent ACK 5479
[CLIENT] sent ACK 5479
[CLIENT] sent ACK 5510
[CLIENT] sent ACK 5551
[CLIENT] sent ACK 5585
[CLIENT] sent ACK 5585
[CLIENT] sent ACK 5585
[CLIENT] sent ACK 5665
[CLIENT] sent ACK 5665
[CLIENT] sent ACK 5665
[CLIENT] sent ACK 5665
[CLIENT] sent ACK 5745
[CLIENT] sent ACK 5745
[CLIENT] sent ACK 5745
[CLIENT] sent ACK 5745
[CLIENT] sent ACK 5815
[CLIENT] sent ACK 5815
[CLIENT] sent ACK 5815
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6159
[CLIENT] sent ACK 6211
[CLIENT] sent ACK 6211
[CLIENT] sent ACK 6211
[CLIENT] sent ACK 6314
[CLIENT] sent ACK 6314
[CLIENT] sent ACK 6314
[CLIENT] sent ACK 6314
[CLIENT] sent ACK 6314
[CLIENT] sent ACK 6334
[CLIENT] sent ACK 6462
[CLIENT] sent ACK 6462
[CLIENT] sent ACK 6462
[CLIENT] sent ACK 6462
[CLIENT] sent ACK 6462
[CLIENT] sent ACK 6462
[CLIENT] sent ACK 6564
[CLIENT] sent ACK 6564
[CLIENT] sent ACK 6564
[CLIENT] sent ACK 6564
[CLIENT] sent ACK 6564
[CLIENT] sent ACK 6631
[CLIENT] sent ACK 6631
[CLIENT] sent ACK 6631
[CLIENT] sent ACK 6701
[CLIENT] sent ACK 6701
[CLIENT] sent ACK 6701
[CLIENT] sent ACK 6742
[CLIENT] sent ACK 6786
[CLIENT] sent ACK 6809
[CLIENT] sent ACK 6809
[CLIENT] sent ACK 6955
[CLIENT] sent ACK 6955
[CLIENT] sent ACK 6955
[CLIENT] sent ACK 6955
[CLIENT] sent ACK 6955
[CLIENT] sent ACK 6955
[CLIENT] sent ACK 6955
[CLIENT] sent ACK 7068
[CLIENT] sent ACK 7068
[CLIENT] sent ACK 7068
[CLIENT] sent ACK 7068
[CLIENT] sent ACK 7068
[CLIENT] sent ACK 7156
[CLIENT] sent ACK 7156
[CLIENT] sent ACK 7156
[CLIENT] sent ACK 7156
[CLIENT] sent ACK 7225
[CLIENT] sent ACK 7225
[CLIENT] sent ACK 7225
[CLIENT] sent ACK 7288
[CLIENT] sent ACK 7315
[CLIENT] sent ACK 7315
[CLIENT] sent ACK 7366
[CLIENT] sent ACK 7405
[CLIENT] sent ACK 7405
[CLIENT] sent ACK 7405
[CLIENT] sent ACK 7436
[CLIENT] sent ACK 7483
[CLIENT] sent ACK 7491
[CLIENT] sent ACK 7497
[CLIENT] sent ACK 7497
[CLIENT] sent ACK 7596
[CLIENT] sent ACK 7596
[CLIENT] sent ACK 7596
[CLIENT] sent ACK 7596
[CLIENT] sent ACK 7596
[CLIENT] sent ACK 7696
[CLIENT] sent ACK 7696
[CLIENT] sent ACK 7696
[CLIENT] sent ACK 7696
[CLIENT] sent ACK 7696
[CLIENT] sent ACK 7766
[CLIENT] sent ACK 7766
[CLIENT] sent ACK 7766
[CLIENT] sent ACK 7843
[CLIENT] sent ACK 7843
[CLIENT] sent ACK 7843
[CLIENT] sent ACK 7843
[CLIENT] sent ACK 7942
[CLIENT] sent ACK 7942
[CLIENT] sent ACK 7942
[CLIENT] sent ACK 7942
[CLIENT] sent ACK 7942
[CLIENT] sent ACK 8006
[CLIENT] sent ACK 8006
[CLIENT] sent ACK 8006
[CLIENT] sent ACK 8073
[CLIENT] sent ACK 8073
[CLIENT] sent ACK 8073
[CLIENT] sent ACK 8138
[CLIENT] sent ACK 8138
[CLIENT] sent ACK 8138
[CLIENT] sent ACK 8217
[CLIENT] sent ACK 8217
[CLIENT] sent ACK 8217
[CLIENT] sent ACK 8217
[CLIENT] sent ACK 8292
[CLIENT] sent ACK 8292
[CLIENT] sent ACK 8292
[CLIENT] sent ACK 8292
[CLIENT] sent ACK 8367
[CLIENT] sent ACK 8367
[CLIENT] sent ACK 8367
[CLIENT] sent ACK 8367
[CLIENT] sent ACK 8485
[CLIENT] sent ACK 8485
[CLIENT] sent ACK 8485
[CLIENT] sent ACK 8485
[CLIENT] sent ACK 8485
[CLIENT] sent ACK 8545
[CLIENT] sent ACK 8596
[CLIENT] sent ACK 8596
[CLIENT] sent ACK 8619
[CLIENT] sent ACK 8619
[CLIENT] sent ACK 8672
[CLIENT] sent ACK 8694
[CLIENT] sent ACK 8694
[CLIENT] sent ACK 8694
[CLIENT] sent ACK 8759
[CLIENT] sent ACK 8759
[CLIENT] sent ACK 8759
[CLIENT] sent ACK 8826
[CLIENT] sent ACK 8826
[CLIENT] sent ACK 8826
[CLIENT] sent ACK 8898
[CLIENT] sent ACK 8898
[CLIENT] sent ACK 8898
[CLIENT] sent ACK 8898
[CLIENT] sent ACK 8976
[CLIENT] sent ACK 8976
[CLIENT] sent ACK 8976
[CLIENT] sent ACK 8976
[CLIENT] sent ACK 9049
[CLIENT] sent ACK 9049
[CLIENT] sent ACK 9049
[CLIENT] sent ACK 9049
[CLIENT] sent ACK 9116
[CLIENT] sent ACK 9116
[CLIENT] sent ACK 9116
[CLIENT] sent ACK 9180
[CLIENT] sent ACK 9180
[CLIENT] sent ACK 9180
[CLIENT] sent ACK 9245
[CLIENT] sent ACK 9245
[CLIENT] sent ACK 9245
[CLIENT] sent ACK 9314
[CLIENT] sent ACK 9314
[CLIENT] sent ACK 9314
[CLIENT] sent ACK 9396
[CLIENT] sent ACK 9396
[CLIENT] sent ACK 9396
[CLIENT] sent ACK 9396
[CLIENT] sent ACK 9474
[CLIENT] sent ACK 9474
[CLIENT] sent ACK 9474
[CLIENT] sent ACK 9474
[CLIENT] sent ACK 9617
[CLIENT] sent ACK 9617
[CLIENT] sent ACK 9617
[CLIENT] sent ACK 9617
[CLIENT] sent ACK 9617
[CLIENT] sent ACK 9617
[CLIENT] sent ACK 9697
[CLIENT] sent ACK 9697
[CLIENT] sent ACK 9697
[CLIENT] sent ACK 9697
[CLIENT] sent ACK 9830
[CLIENT] sent ACK 9830
[CLIENT] sent ACK 9830
[CLIENT] sent ACK 9830
[CLIENT] sent ACK 9830
[CLIENT] sent ACK 9830
[CLIENT] sent ACK 9958
[CLIENT] sent ACK 9958
[CLIENT] sent ACK 9958
[CLIENT] sent ACK 9958
[CLIENT] sent ACK 9958
[CLIENT] sent ACK 9958
[CLIENT] sent ACK 10054
[CLIENT] sent ACK 10054
[CLIENT] sent ACK 10054
[CLIENT] sent ACK 10054
[CLIENT] sent ACK 10054
[CLIENT] sent ACK 10085
[CLIENT] sent ACK 10085
[CLIENT] sent ACK 10166
[CLIENT] sent ACK 10166
[CLIENT] sent ACK 10182
[CLIENT] sent ACK 10420
[CLIENT] sent ACK 10420
[CLIENT] sent ACK 10420
[CLIENT] sent ACK 10420
[CLIENT] sent ACK 10420
[CLIENT] sent ACK 10420
[CLIENT] sent ACK 10420
[CLIENT] sent ACK 10420
[CLIENT] sent ACK 10420
[CLIENT] sent ACK 10420
[CLIENT] sent ACK 10494
[CLIENT] sent ACK 10494
[CLIENT] sent ACK 10494
[CLIENT] sent ACK 10494
[CLIENT] sent ACK 10568
[CLIENT] sent ACK 10568
[CLIENT] sent ACK 10568
[CLIENT] sent ACK 10568
[CLIENT] sent ACK 10681
[CLIENT] sent ACK 10681
[CLIENT] sent ACK 10681
[CLIENT] sent ACK 10681
[CLIENT] sent ACK 10681
[CLIENT] sent ACK 10760
[CLIENT] sent ACK 10760
[CLIENT] sent ACK 10760
[CLIENT] sent ACK 10760
[CLIENT] sent ACK 10847
[CLIENT] sent ACK 10847
[CLIENT] sent ACK 10847
[CLIENT] sent ACK 10847
[CLIENT] sent ACK 10927
[CLIENT] sent ACK 10927
[CLIENT] sent ACK 10927
[CLIENT] sent ACK 10927
[CLIENT] sent ACK 10996
[CLIENT] sent ACK 10996
[CLIENT] sent ACK 10996
[CLIENT] sent ACK 11065
[CLIENT] sent ACK 11065
[CLIENT] sent ACK 11065
[CLIENT] sent ACK 11065
[CLIENT] sent ACK 11065
[CLIENT] sent ACK 11263
[CLIENT] sent ACK 11263
[CLIENT] sent ACK 11263
[CLIENT] sent ACK 11263
[CLIENT] sent ACK 11263
[CLIENT] sent ACK 11263
