Script started on 2026-04-22 18:02:06+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && sudo PYTHONPATH=. python3 -u main.py --mode client --config config_phase2.json --file ./gdrive-folder/test_100mb_file" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[CLIENT] running on 172.31.64.201:50000
[CLIENT] talking to server 172.31.77.14:50000
[CLIENT] sent ClientHello
[CLIENT] Handshake complete
[CLIENT] requested file: ./gdrive-folder/test_100mb_file
[CLIENT] sent ACK 9
[CLIENT] sent ACK 33
[CLIENT] sent ACK 59
[CLIENT] sent ACK 84
[CLIENT] sent ACK 110
[CLIENT] sent ACK 135
[CLIENT] sent ACK 160
[CLIENT] sent ACK 184
[CLIENT] sent ACK 209
[CLIENT] sent ACK 235
[CLIENT] sent ACK 261
[CLIENT] sent ACK 286
[CLIENT] sent ACK 311
[CLIENT] sent ACK 336
[CLIENT] sent ACK 362
[CLIENT] sent ACK 386
[CLIENT] sent ACK 411
[CLIENT] sent ACK 437
[CLIENT] sent ACK 464
[CLIENT] sent ACK 488
[CLIENT] sent ACK 512
[CLIENT] sent ACK 536
[CLIENT] sent ACK 562
[CLIENT] sent ACK 587
[CLIENT] sent ACK 611
[CLIENT] sent ACK 634
[CLIENT] sent ACK 659
[CLIENT] sent ACK 684
[CLIENT] sent ACK 708
[CLIENT] sent ACK 733
[CLIENT] sent ACK 757
[CLIENT] sent ACK 782
[CLIENT] sent ACK 805
[CLIENT] sent ACK 826
[CLIENT] sent ACK 846
[CLIENT] sent ACK 869
[CLIENT] sent ACK 892
[CLIENT] sent ACK 916
[CLIENT] sent ACK 940
[CLIENT] sent ACK 964
[CLIENT] sent ACK 987
[CLIENT] sent ACK 1012
[CLIENT] sent ACK 1038
[CLIENT] sent ACK 1062
[CLIENT] sent ACK 1086
[CLIENT] sent ACK 1108
[CLIENT] sent ACK 1134
[CLIENT] sent ACK 1158
[CLIENT] sent ACK 1182
[CLIENT] sent ACK 1206
[CLIENT] sent ACK 1229
[CLIENT] sent ACK 1253
[CLIENT] sent ACK 1276
[CLIENT] sent ACK 1301
[CLIENT] sent ACK 1325
[CLIENT] sent ACK 1350
[CLIENT] sent ACK 1374
[CLIENT] sent ACK 1400
[CLIENT] sent ACK 1424
[CLIENT] sent ACK 1449
[CLIENT] sent ACK 1473
[CLIENT] sent ACK 1496
[CLIENT] sent ACK 1520
[CLIENT] sent ACK 1546
[CLIENT] sent ACK 1571
[CLIENT] sent ACK 1593
[CLIENT] sent ACK 1617
[CLIENT] sent ACK 1642
[CLIENT] sent ACK 1669
[CLIENT] sent ACK 1691
[CLIENT] sent ACK 1708
[CLIENT] sent ACK 1721
[CLIENT] sent ACK 1744
[CLIENT] sent ACK 1770
[CLIENT] sent ACK 1796
[CLIENT] sent ACK 1820
[CLIENT] sent ACK 1844
[CLIENT] sent ACK 1873
[CLIENT] sent ACK 1898
[CLIENT] sent ACK 1921
[CLIENT] sent ACK 1947
[CLIENT] sent ACK 1972
[CLIENT] sent ACK 1998
[CLIENT] sent ACK 2024
[CLIENT] sent ACK 2048
[CLIENT] sent ACK 2071
[CLIENT] sent ACK 2095
[CLIENT] sent ACK 2122
[CLIENT] sent ACK 2148
[CLIENT] sent ACK 2170
[CLIENT] sent ACK 2196
[CLIENT] sent ACK 2220
[CLIENT] sent ACK 2243
[CLIENT] sent ACK 2268
[CLIENT] sent ACK 2291
[CLIENT] sent ACK 2316
[CLIENT] sent ACK 2342
[CLIENT] sent ACK 2368
[CLIENT] sent ACK 2398
[CLIENT] sent ACK 2420
[CLIENT] sent ACK 2447
[CLIENT] sent ACK 2461
[CLIENT] sent ACK 2486
[CLIENT] sent ACK 2512
[CLIENT] sent ACK 2537
[CLIENT] sent ACK 2563
[CLIENT] sent ACK 2591
[CLIENT] sent ACK 2617
[CLIENT] sent ACK 2643
[CLIENT] sent ACK 2669
[CLIENT] sent ACK 2695
[CLIENT] sent ACK 2721
[CLIENT] sent ACK 2748
[CLIENT] sent ACK 2775
[CLIENT] sent ACK 2800
[CLIENT] sent ACK 2825
[CLIENT] sent ACK 2851
[CLIENT] sent ACK 2878
[CLIENT] sent ACK 2903
[CLIENT] sent ACK 2926
[CLIENT] sent ACK 2950
[CLIENT] sent ACK 2973
[CLIENT] sent ACK 2998
[CLIENT] sent ACK 3022
[CLIENT] sent ACK 3045
[CLIENT] sent ACK 3069
[CLIENT] sent ACK 3093
[CLIENT] sent ACK 3117
[CLIENT] sent ACK 3143
[CLIENT] sent ACK 3166
[CLIENT] sent ACK 3190
[CLIENT] sent ACK 3213
[CLIENT] sent ACK 3238
[CLIENT] sent ACK 3264
[CLIENT] sent ACK 3288
[CLIENT] sent ACK 3314
[CLIENT] sent ACK 3339
[CLIENT] sent ACK 3363
[CLIENT] sent ACK 3389
[CLIENT] sent ACK 3411
[CLIENT] sent ACK 3434
[CLIENT] sent ACK 3459
[CLIENT] sent ACK 3483
[CLIENT] sent ACK 3507
[CLIENT] sent ACK 3529
[CLIENT] sent ACK 3550
[CLIENT] sent ACK 3575
[CLIENT] sent ACK 3600
[CLIENT] sent ACK 3625
[CLIENT] sent ACK 3648
[CLIENT] sent ACK 3674
[CLIENT] sent ACK 3700
[CLIENT] sent ACK 3724
[CLIENT] sent ACK 3747
[CLIENT] sent ACK 3772
[CLIENT] sent ACK 3795
[CLIENT] sent ACK 3821
[CLIENT] sent ACK 3846
[CLIENT] sent ACK 3870
[CLIENT] sent ACK 3896
[CLIENT] sent ACK 3920
[CLIENT] sent ACK 3945
[CLIENT] sent ACK 3965
[CLIENT] sent ACK 3990
[CLIENT] sent ACK 4013
[CLIENT] sent ACK 4039
[CLIENT] sent ACK 4062
[CLIENT] sent ACK 4087
[CLIENT] sent ACK 4113
[CLIENT] sent ACK 4138
[CLIENT] sent ACK 4162
[CLIENT] sent ACK 4186
[CLIENT] sent ACK 4212
[CLIENT] sent ACK 4233
[CLIENT] sent ACK 4257
[CLIENT] sent ACK 4280
[CLIENT] sent ACK 4305
[CLIENT] sent ACK 4328
[CLIENT] sent ACK 4352
[CLIENT] sent ACK 4379
[CLIENT] sent ACK 4403
[CLIENT] sent ACK 4428
[CLIENT] sent ACK 4453
[CLIENT] sent ACK 4478
[CLIENT] sent ACK 4503
[CLIENT] sent ACK 4522
[CLIENT] sent ACK 4539
[CLIENT] sent ACK 4564
[CLIENT] sent ACK 4591
[CLIENT] sent ACK 4614
[CLIENT] sent ACK 4639
[CLIENT] sent ACK 4665
[CLIENT] sent ACK 4690
[CLIENT] sent ACK 4715
[CLIENT] sent ACK 4741
[CLIENT] sent ACK 4766
[CLIENT] sent ACK 4791
[CLIENT] sent ACK 4814
[CLIENT] sent ACK 4839
[CLIENT] sent ACK 4862
[CLIENT] sent ACK 4889
[CLIENT] sent ACK 4915
[CLIENT] sent ACK 4940
[CLIENT] sent ACK 4965
[CLIENT] sent ACK 4985
[CLIENT] sent ACK 5011
[CLIENT] sent ACK 5036
[CLIENT] sent ACK 5060
[CLIENT] sent ACK 5082
[CLIENT] sent ACK 5106
[CLIENT] sent ACK 5132
[CLIENT] sent ACK 5157
[CLIENT] sent ACK 5184
[CLIENT] sent ACK 5207
[CLIENT] sent ACK 5234
[CLIENT] sent ACK 5260
[CLIENT] sent ACK 5284
[CLIENT] sent ACK 5307
[CLIENT] sent ACK 5330
[CLIENT] sent ACK 5356
[CLIENT] sent ACK 5380
[CLIENT] sent ACK 5403
[CLIENT] sent ACK 5431
[CLIENT] sent ACK 5454
[CLIENT] sent ACK 5478
[CLIENT] sent ACK 5502
[CLIENT] sent ACK 5528
[CLIENT] sent ACK 5545
[CLIENT] sent ACK 5570
[CLIENT] sent ACK 5596
[CLIENT] sent ACK 5622
[CLIENT] sent ACK 5648
[CLIENT] sent ACK 5669
[CLIENT] sent ACK 5696
[CLIENT] sent ACK 5721
[CLIENT] sent ACK 5748
[CLIENT] sent ACK 5774
[CLIENT] sent ACK 5800
[CLIENT] sent ACK 5823
[CLIENT] sent ACK 5848
[CLIENT] sent ACK 5875
[CLIENT] sent ACK 5902
[CLIENT] sent ACK 5927
[CLIENT] sent ACK 5951
[CLIENT] sent ACK 5976
[CLIENT] sent ACK 6002
[CLIENT] sent ACK 6028
[CLIENT] sent ACK 6052
[CLIENT] sent ACK 6076
[CLIENT] sent ACK 6102
[CLIENT] sent ACK 6127
[CLIENT] sent ACK 6152
[CLIENT] sent ACK 6176
[CLIENT] sent ACK 6198
[CLIENT] sent ACK 6222
[CLIENT] sent ACK 6246
[CLIENT] sent ACK 6271
[CLIENT] sent ACK 6296
[CLIENT] sent ACK 6321
[CLIENT] sent ACK 6347
[CLIENT] sent ACK 6371
[CLIENT] sent ACK 6395
[CLIENT] sent ACK 6419
[CLIENT] sent ACK 6445
[CLIENT] sent ACK 6469
[CLIENT] sent ACK 6494
[CLIENT] sent ACK 6518
[CLIENT] sent ACK 6544
[CLIENT] sent ACK 6563
[CLIENT] sent ACK 6586
[CLIENT] sent ACK 6610
[CLIENT] sent ACK 6635
[CLIENT] sent ACK 6660
[CLIENT] sent ACK 6685
[CLIENT] sent ACK 6711
[CLIENT] sent ACK 6735
[CLIENT] sent ACK 6759
[CLIENT] sent ACK 6785
[CLIENT] sent ACK 6809
[CLIENT] sent ACK 6835
[CLIENT] sent ACK 6861
[CLIENT] sent ACK 6888
[CLIENT] sent ACK 6914
[CLIENT] sent ACK 6936
[CLIENT] sent ACK 6961
[CLIENT] sent ACK 6989
[CLIENT] sent ACK 7015
[CLIENT] sent ACK 7039
[CLIENT] sent ACK 7064
[CLIENT] sent ACK 7084
[CLIENT] sent ACK 7109
[CLIENT] sent ACK 7135
[CLIENT] sent ACK 7161
[CLIENT] sent ACK 7183
[CLIENT] sent ACK 7209
[CLIENT] sent ACK 7234
[CLIENT] sent ACK 7259
[CLIENT] sent ACK 7285
[CLIENT] sent ACK 7307
[CLIENT] sent ACK 7332
[CLIENT] sent ACK 7359
[CLIENT] sent ACK 7382
[CLIENT] sent ACK 7407
[CLIENT] sent ACK 7429
[CLIENT] sent ACK 7454
[CLIENT] sent ACK 7476
[CLIENT] sent ACK 7488
[CLIENT] sent ACK 7507
[CLIENT] sent ACK 7533
[CLIENT] sent ACK 7560
[CLIENT] sent ACK 7587
[CLIENT] sent ACK 7613
[CLIENT] sent ACK 7638
[CLIENT] sent ACK 7662
[CLIENT] sent ACK 7688
[CLIENT] sent ACK 7712
[CLIENT] sent ACK 7738
[CLIENT] sent ACK 7763
[CLIENT] sent ACK 7787
[CLIENT] sent ACK 7811
[CLIENT] sent ACK 7836
[CLIENT] sent ACK 7860
[CLIENT] sent ACK 7886
[CLIENT] sent ACK 7909
[CLIENT] sent ACK 7935
[CLIENT] sent ACK 7961
[CLIENT] sent ACK 7984
[CLIENT] sent ACK 8009
[CLIENT] sent ACK 8032
[CLIENT] sent ACK 8056
[CLIENT] sent ACK 8080
[CLIENT] sent ACK 8105
[CLIENT] sent ACK 8131
[CLIENT] sent ACK 8155
[CLIENT] sent ACK 8179
[CLIENT] sent ACK 8205
[CLIENT] sent ACK 8230
[CLIENT] sent ACK 8255
[CLIENT] sent ACK 8280
[CLIENT] sent ACK 8305
[CLIENT] sent ACK 8330
[CLIENT] sent ACK 8355
[CLIENT] sent ACK 8380
[CLIENT] sent ACK 8402
[CLIENT] sent ACK 8420
[CLIENT] sent ACK 8443
[CLIENT] sent ACK 8467
[CLIENT] sent ACK 8491
[CLIENT] sent ACK 8519
[CLIENT] sent ACK 8542
[CLIENT] sent ACK 8566
[CLIENT] sent ACK 8590
[CLIENT] sent ACK 8616
[CLIENT] sent ACK 8638
[CLIENT] sent ACK 8664
[CLIENT] sent ACK 8689
[CLIENT] sent ACK 8715
[CLIENT] sent ACK 8739
[CLIENT] sent ACK 8763
[CLIENT] sent ACK 8789
[CLIENT] sent ACK 8814
[CLIENT] sent ACK 8839
[CLIENT] sent ACK 8865
[CLIENT] sent ACK 8886
[CLIENT] sent ACK 8908
[CLIENT] sent ACK 8933
[CLIENT] sent ACK 8961
[CLIENT] sent ACK 8985
[CLIENT] sent ACK 9011
[CLIENT] sent ACK 9036
[CLIENT] sent ACK 9060
[CLIENT] sent ACK 9085
[CLIENT] sent ACK 9109
[CLIENT] sent ACK 9134
[CLIENT] sent ACK 9158
[CLIENT] sent ACK 9181
[CLIENT] sent ACK 9206
[CLIENT] sent ACK 9229
[CLIENT] sent ACK 9255
[CLIENT] sent ACK 9280
[CLIENT] sent ACK 9303
[CLIENT] sent ACK 9327
[CLIENT] sent ACK 9347
[CLIENT] sent ACK 9370
[CLIENT] sent ACK 9394
[CLIENT] sent ACK 9417
[CLIENT] sent ACK 9439
[CLIENT] sent ACK 9464
[CLIENT] sent ACK 9487
[CLIENT] sent ACK 9511
[CLIENT] sent ACK 9536
[CLIENT] sent ACK 9562
[CLIENT] sent ACK 9587
[CLIENT] sent ACK 9611
[CLIENT] sent ACK 9634
[CLIENT] sent ACK 9660
[CLIENT] sent ACK 9686
[CLIENT] sent ACK 9710
[CLIENT] sent ACK 9733
[CLIENT] sent ACK 9758
[CLIENT] sent ACK 9780
[CLIENT] sent ACK 9805
[CLIENT] sent ACK 9829
[CLIENT] sent ACK 9853
[CLIENT] sent ACK 9879
[CLIENT] sent ACK 9902
[CLIENT] sent ACK 9926
[CLIENT] sent ACK 9949
[CLIENT] sent ACK 9973
[CLIENT] sent ACK 9997
[CLIENT] sent ACK 10020
[CLIENT] sent ACK 10045
[CLIENT] sent ACK 10069
[CLIENT] sent ACK 10093
[CLIENT] sent ACK 10119
[CLIENT] sent ACK 10145
[CLIENT] sent ACK 10168
[CLIENT] sent ACK 10193
[CLIENT] sent ACK 10216
[CLIENT] sent ACK 10240
[CLIENT] sent ACK 10263
[CLIENT] sent ACK 10288
[CLIENT] sent ACK 10312
[CLIENT] sent ACK 10335
[CLIENT] sent ACK 10360
[CLIENT] sent ACK 10386
[CLIENT] sent ACK 10408
[CLIENT] sent ACK 10433
[CLIENT] sent ACK 10456
[CLIENT] sent ACK 10480
[CLIENT] sent ACK 10504
[CLIENT] sent ACK 10529
[CLIENT] sent ACK 10554
[CLIENT] sent ACK 10576
[CLIENT] sent ACK 10600
[CLIENT] sent ACK 10625
[CLIENT] sent ACK 10650
[CLIENT] sent ACK 10675
[CLIENT] sent ACK 10699
[CLIENT] sent ACK 10724
[CLIENT] sent ACK 10750
[CLIENT] sent ACK 10775
[CLIENT] sent ACK 10797
[CLIENT] sent ACK 10821
[CLIENT] sent ACK 10845
[CLIENT] sent ACK 10868
[CLIENT] sent ACK 10895
[CLIENT] sent ACK 10919
[CLIENT] sent ACK 10941
[CLIENT] sent ACK 10967
[CLIENT] sent ACK 10990
[CLIENT] sent ACK 11015
[CLIENT] sent ACK 11037
[CLIENT] sent ACK 11060
[CLIENT] sent ACK 11084
[CLIENT] sent ACK 11110
[CLIENT] sent ACK 11133
[CLIENT] sent ACK 11159
[CLIENT] sent ACK 11182
[CLIENT] sent ACK 11206
[CLIENT] sent ACK 11229
[CLIENT] sent ACK 11253
[CLIENT] sent ACK 11278
[CLIENT] sent ACK 11303
[CLIENT] sent ACK 11327
[CLIENT] sent ACK 11353
[CLIENT] sent ACK 11378
[CLIENT] sent ACK 11401
[CLIENT] sent ACK 11424
[CLIENT] sent ACK 11451
[CLIENT] sent ACK 11476
[CLIENT] sent ACK 11502
[CLIENT] sent ACK 11525
[CLIENT] sent ACK 11549
[CLIENT] sent ACK 11574
[CLIENT] sent ACK 11599
[CLIENT] sent ACK 11622
[CLIENT] sent ACK 11645
[CLIENT] sent ACK 11670
[CLIENT] sent ACK 11692
[CLIENT] sent ACK 11716
[CLIENT] sent ACK 11736
[CLIENT] sent ACK 11748
[CLIENT] sent ACK 11768
[CLIENT] sent ACK 11792
[CLIENT] sent ACK 11816
[CLIENT] sent ACK 11841
[CLIENT] sent ACK 11865
[CLIENT] sent ACK 11890
[CLIENT] sent ACK 11911
[CLIENT] sent ACK 11934
[CLIENT] sent ACK 11961
[CLIENT] sent ACK 11985
[CLIENT] sent ACK 12010
[CLIENT] sent ACK 12033
[CLIENT] sent ACK 12059
[CLIENT] sent ACK 12084
[CLIENT] sent ACK 12110
[CLIENT] sent ACK 12132
[CLIENT] sent ACK 12153
[CLIENT] sent ACK 12178
[CLIENT] sent ACK 12205
[CLIENT] sent ACK 12228
[CLIENT] sent ACK 12252
[CLIENT] sent ACK 12277
[CLIENT] sent ACK 12303
[CLIENT] sent ACK 12327
[CLIENT] sent ACK 12349
[CLIENT] sent ACK 12373
[CLIENT] sent ACK 12397
[CLIENT] sent ACK 12423
[CLIENT] sent ACK 12449
[CLIENT] sent ACK 12475
[CLIENT] sent ACK 12498
[CLIENT] sent ACK 12523
[CLIENT] sent ACK 12550
[CLIENT] sent ACK 12575
[CLIENT] sent ACK 12601
[CLIENT] sent ACK 12625
[CLIENT] sent ACK 12650
[CLIENT] sent ACK 12676
[CLIENT] sent ACK 12702
[CLIENT] sent ACK 12718
[CLIENT] sent ACK 12741
[CLIENT] sent ACK 12766
[CLIENT] sent ACK 12790
[CLIENT] sent ACK 12818
[CLIENT] sent ACK 12841
[CLIENT] sent ACK 12867
[CLIENT] sent ACK 12891
[CLIENT] sent ACK 12915
[CLIENT] sent ACK 12942
[CLIENT] sent ACK 12967
[CLIENT] sent ACK 12989
[CLIENT] sent ACK 13016
[CLIENT] sent ACK 13040
[CLIENT] sent ACK 13065
[CLIENT] sent ACK 13091
[CLIENT] sent ACK 13115
[CLIENT] sent ACK 13140
[CLIENT] sent ACK 13165
[CLIENT] sent ACK 13189
[CLIENT] sent ACK 13213
[CLIENT] sent ACK 13233
[CLIENT] sent ACK 13256
[CLIENT] sent ACK 13280
[CLIENT] sent ACK 13305
[CLIENT] sent ACK 13330
[CLIENT] sent ACK 13353
[CLIENT] sent ACK 13373
[CLIENT] sent ACK 13397
[CLIENT] sent ACK 13422
[CLIENT] sent ACK 13445
[CLIENT] sent ACK 13470
[CLIENT] sent ACK 13492
[CLIENT] sent ACK 13516
[CLIENT] sent ACK 13539
[CLIENT] sent ACK 13564
[CLIENT] sent ACK 13589
[CLIENT] sent ACK 13613
[CLIENT] sent ACK 13638
[CLIENT] sent ACK 13661
[CLIENT] sent ACK 13686
[CLIENT] sent ACK 13711
[CLIENT] sent ACK 13736
[CLIENT] sent ACK 13760
[CLIENT] sent ACK 13782
[CLIENT] sent ACK 13805
[CLIENT] sent ACK 13831
[CLIENT] sent ACK 13854
[CLIENT] sent ACK 13879
[CLIENT] sent ACK 13904
[CLIENT] sent ACK 13927
