Script started on 2026-04-22 17:56:17+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && /usr/bin/time -p sudo PYTHONPATH=. python3 -u main.py --mode client --config config_phase2.json --file ./gdrive-folder/test_100mb_file" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[CLIENT] running on 172.31.64.201:50000
[CLIENT] talking to server 172.31.77.14:50000
[CLIENT] sent ClientHello
[CLIENT] Handshake complete
[CLIENT] requested file: ./gdrive-folder/test_100mb_file
[CLIENT] sent ACK 11
[CLIENT] sent ACK 34
[CLIENT] sent ACK 59
[CLIENT] sent ACK 85
[CLIENT] sent ACK 111
[CLIENT] sent ACK 139
[CLIENT] sent ACK 164
[CLIENT] sent ACK 191
[CLIENT] sent ACK 217
[CLIENT] sent ACK 246
[CLIENT] sent ACK 271
[CLIENT] sent ACK 297
[CLIENT] sent ACK 322
[CLIENT] sent ACK 348
[CLIENT] sent ACK 375
[CLIENT] sent ACK 401
[CLIENT] sent ACK 426
[CLIENT] sent ACK 451
[CLIENT] sent ACK 477
[CLIENT] sent ACK 503
[CLIENT] sent ACK 530
[CLIENT] sent ACK 557
[CLIENT] sent ACK 580
[CLIENT] sent ACK 605
[CLIENT] sent ACK 627
[CLIENT] sent ACK 651
[CLIENT] sent ACK 672
[CLIENT] sent ACK 695
[CLIENT] sent ACK 722
[CLIENT] sent ACK 746
[CLIENT] sent ACK 770
[CLIENT] sent ACK 794
[CLIENT] sent ACK 816
[CLIENT] sent ACK 839
[CLIENT] sent ACK 861
[CLIENT] sent ACK 886
[CLIENT] sent ACK 908
[CLIENT] sent ACK 932
[CLIENT] sent ACK 956
[CLIENT] sent ACK 980
[CLIENT] sent ACK 1005
[CLIENT] sent ACK 1030
[CLIENT] sent ACK 1054
[CLIENT] sent ACK 1080
[CLIENT] sent ACK 1105
[CLIENT] sent ACK 1127
[CLIENT] sent ACK 1150
[CLIENT] sent ACK 1176
[CLIENT] sent ACK 1200
[CLIENT] sent ACK 1225
[CLIENT] sent ACK 1247
[CLIENT] sent ACK 1272
[CLIENT] sent ACK 1295
[CLIENT] sent ACK 1312
[CLIENT] sent ACK 1335
[CLIENT] sent ACK 1358
[CLIENT] sent ACK 1383
[CLIENT] sent ACK 1405
[CLIENT] sent ACK 1430
[CLIENT] sent ACK 1455
[CLIENT] sent ACK 1478
[CLIENT] sent ACK 1503
[CLIENT] sent ACK 1529
[CLIENT] sent ACK 1554
[CLIENT] sent ACK 1578
[CLIENT] sent ACK 1602
[CLIENT] sent ACK 1627
[CLIENT] sent ACK 1652
[CLIENT] sent ACK 1675
[CLIENT] sent ACK 1700
[CLIENT] sent ACK 1722
[CLIENT] sent ACK 1746
[CLIENT] sent ACK 1772
[CLIENT] sent ACK 1797
[CLIENT] sent ACK 1822
[CLIENT] sent ACK 1847
[CLIENT] sent ACK 1870
[CLIENT] sent ACK 1897
[CLIENT] sent ACK 1923
[CLIENT] sent ACK 1949
[CLIENT] sent ACK 1975
[CLIENT] sent ACK 2002
[CLIENT] sent ACK 2030
[CLIENT] sent ACK 2055
[CLIENT] sent ACK 2079
[CLIENT] sent ACK 2106
[CLIENT] sent ACK 2129
[CLIENT] sent ACK 2154
[CLIENT] sent ACK 2178
[CLIENT] sent ACK 2200
[CLIENT] sent ACK 2225
[CLIENT] sent ACK 2252
[CLIENT] sent ACK 2277
[CLIENT] sent ACK 2301
[CLIENT] sent ACK 2325
[CLIENT] sent ACK 2352
[CLIENT] sent ACK 2377
[CLIENT] sent ACK 2402
[CLIENT] sent ACK 2425
[CLIENT] sent ACK 2449
[CLIENT] sent ACK 2474
[CLIENT] sent ACK 2498
[CLIENT] sent ACK 2525
[CLIENT] sent ACK 2551
[CLIENT] sent ACK 2574
[CLIENT] sent ACK 2597
[CLIENT] sent ACK 2624
[CLIENT] sent ACK 2646
[CLIENT] sent ACK 2671
[CLIENT] sent ACK 2693
[CLIENT] sent ACK 2718
[CLIENT] sent ACK 2740
[CLIENT] sent ACK 2765
[CLIENT] sent ACK 2790
[CLIENT] sent ACK 2813
[CLIENT] sent ACK 2837
[CLIENT] sent ACK 2863
[CLIENT] sent ACK 2886
[CLIENT] sent ACK 2911
[CLIENT] sent ACK 2935
[CLIENT] sent ACK 2960
[CLIENT] sent ACK 2982
[CLIENT] sent ACK 3005
[CLIENT] sent ACK 3032
[CLIENT] sent ACK 3057
[CLIENT] sent ACK 3080
[CLIENT] sent ACK 3103
[CLIENT] sent ACK 3128
[CLIENT] sent ACK 3154
[CLIENT] sent ACK 3178
[CLIENT] sent ACK 3201
[CLIENT] sent ACK 3225
[CLIENT] sent ACK 3250
[CLIENT] sent ACK 3274
[CLIENT] sent ACK 3299
[CLIENT] sent ACK 3322
[CLIENT] sent ACK 3345
[CLIENT] sent ACK 3370
[CLIENT] sent ACK 3396
[CLIENT] sent ACK 3419
[CLIENT] sent ACK 3442
[CLIENT] sent ACK 3469
[CLIENT] sent ACK 3493
[CLIENT] sent ACK 3515
[CLIENT] sent ACK 3537
[CLIENT] sent ACK 3560
[CLIENT] sent ACK 3584
[CLIENT] sent ACK 3607
[CLIENT] sent ACK 3632
[CLIENT] sent ACK 3655
[CLIENT] sent ACK 3678
[CLIENT] sent ACK 3702
[CLIENT] sent ACK 3727
[CLIENT] sent ACK 3753
[CLIENT] sent ACK 3776
[CLIENT] sent ACK 3803
[CLIENT] sent ACK 3828
[CLIENT] sent ACK 3853
[CLIENT] sent ACK 3881
[CLIENT] sent ACK 3903
[CLIENT] sent ACK 3928
[CLIENT] sent ACK 3952
[CLIENT] sent ACK 3977
[CLIENT] sent ACK 4003
[CLIENT] sent ACK 4027
[CLIENT] sent ACK 4051
[CLIENT] sent ACK 4077
[CLIENT] sent ACK 4103
[CLIENT] sent ACK 4127
[CLIENT] sent ACK 4150
[CLIENT] sent ACK 4174
[CLIENT] sent ACK 4202
[CLIENT] sent ACK 4228
[CLIENT] sent ACK 4255
[CLIENT] sent ACK 4280
[CLIENT] sent ACK 4304
[CLIENT] sent ACK 4329
[CLIENT] sent ACK 4354
[CLIENT] sent ACK 4380
[CLIENT] sent ACK 4407
[CLIENT] sent ACK 4431
[CLIENT] sent ACK 4455
[CLIENT] sent ACK 4481
[CLIENT] sent ACK 4507
[CLIENT] sent ACK 4535
[CLIENT] sent ACK 4559
[CLIENT] sent ACK 4586
[CLIENT] sent ACK 4612
[CLIENT] sent ACK 4636
[CLIENT] sent ACK 4660
[CLIENT] sent ACK 4683
[CLIENT] sent ACK 4710
[CLIENT] sent ACK 4735
[CLIENT] sent ACK 4761
[CLIENT] sent ACK 4787
[CLIENT] sent ACK 4811
[CLIENT] sent ACK 4835
[CLIENT] sent ACK 4860
[CLIENT] sent ACK 4887
[CLIENT] sent ACK 4913
[CLIENT] sent ACK 4937
[CLIENT] sent ACK 4961
[CLIENT] sent ACK 4987
[CLIENT] sent ACK 5013
[CLIENT] sent ACK 5040
[CLIENT] sent ACK 5063
[CLIENT] sent ACK 5088
[CLIENT] sent ACK 5115
[CLIENT] sent ACK 5141
[CLIENT] sent ACK 5166
[CLIENT] sent ACK 5190
[CLIENT] sent ACK 5214
[CLIENT] sent ACK 5239
[CLIENT] sent ACK 5265
[CLIENT] sent ACK 5290
[CLIENT] sent ACK 5314
[CLIENT] sent ACK 5338
[CLIENT] sent ACK 5363
[CLIENT] sent ACK 5387
[CLIENT] sent ACK 5411
[CLIENT] sent ACK 5435
[CLIENT] sent ACK 5460
[CLIENT] sent ACK 5485
[CLIENT] sent ACK 5509
[CLIENT] sent ACK 5533
[CLIENT] sent ACK 5558
[CLIENT] sent ACK 5583
[CLIENT] sent ACK 5607
[CLIENT] sent ACK 5634
[CLIENT] sent ACK 5660
[CLIENT] sent ACK 5684
[CLIENT] sent ACK 5710
[CLIENT] sent ACK 5736
[CLIENT] sent ACK 5762
[CLIENT] sent ACK 5786
[CLIENT] sent ACK 5810
[CLIENT] sent ACK 5835
[CLIENT] sent ACK 5861
[CLIENT] sent ACK 5887
[CLIENT] sent ACK 5911
[CLIENT] sent ACK 5936
[CLIENT] sent ACK 5961
[CLIENT] sent ACK 5987
[CLIENT] sent ACK 6012
[CLIENT] sent ACK 6038
[CLIENT] sent ACK 6061
[CLIENT] sent ACK 6089
[CLIENT] sent ACK 6117
[CLIENT] sent ACK 6141
[CLIENT] sent ACK 6167
[CLIENT] sent ACK 6193
[CLIENT] sent ACK 6218
[CLIENT] sent ACK 6243
[CLIENT] sent ACK 6268
[CLIENT] sent ACK 6294
[CLIENT] sent ACK 6319
[CLIENT] sent ACK 6345
[CLIENT] sent ACK 6369
[CLIENT] sent ACK 6394
[CLIENT] sent ACK 6420
[CLIENT] sent ACK 6442
[CLIENT] sent ACK 6467
[CLIENT] sent ACK 6492
[CLIENT] sent ACK 6518
[CLIENT] sent ACK 6546
[CLIENT] sent ACK 6569
[CLIENT] sent ACK 6595
[CLIENT] sent ACK 6621
[CLIENT] sent ACK 6645
[CLIENT] sent ACK 6670
[CLIENT] sent ACK 6694
[CLIENT] sent ACK 6719
[CLIENT] sent ACK 6745
[CLIENT] sent ACK 6769
[CLIENT] sent ACK 6796
[CLIENT] sent ACK 6818
[CLIENT] sent ACK 6843
[CLIENT] sent ACK 6868
[CLIENT] sent ACK 6890
[CLIENT] sent ACK 6914
[CLIENT] sent ACK 6937
[CLIENT] sent ACK 6961
[CLIENT] sent ACK 6987
[CLIENT] sent ACK 7012
[CLIENT] sent ACK 7036
[CLIENT] sent ACK 7060
[CLIENT] sent ACK 7085
[CLIENT] sent ACK 7112
[CLIENT] sent ACK 7137
[CLIENT] sent ACK 7164
[CLIENT] sent ACK 7190
[CLIENT] sent ACK 7213
[CLIENT] sent ACK 7238
[CLIENT] sent ACK 7262
[CLIENT] sent ACK 7288
[CLIENT] sent ACK 7311
[CLIENT] sent ACK 7336
[CLIENT] sent ACK 7360
[CLIENT] sent ACK 7387
[CLIENT] sent ACK 7413
[CLIENT] sent ACK 7436
[CLIENT] sent ACK 7461
[CLIENT] sent ACK 7486
[CLIENT] sent ACK 7511
[CLIENT] sent ACK 7535
[CLIENT] sent ACK 7559
[CLIENT] sent ACK 7585
[CLIENT] sent ACK 7610
[CLIENT] sent ACK 7633
[CLIENT] sent ACK 7654
[CLIENT] sent ACK 7679
[CLIENT] sent ACK 7704
[CLIENT] sent ACK 7730
[CLIENT] sent ACK 7754
[CLIENT] sent ACK 7779
[CLIENT] sent ACK 7804
[CLIENT] sent ACK 7830
[CLIENT] sent ACK 7856
[CLIENT] sent ACK 7881
[CLIENT] sent ACK 7908
[CLIENT] sent ACK 7934
[CLIENT] sent ACK 7960
[CLIENT] sent ACK 7984
[CLIENT] sent ACK 8009
[CLIENT] sent ACK 8035
[CLIENT] sent ACK 8060
[CLIENT] sent ACK 8087
[CLIENT] sent ACK 8112
[CLIENT] sent ACK 8138
[CLIENT] sent ACK 8162
[CLIENT] sent ACK 8187
[CLIENT] sent ACK 8212
[CLIENT] sent ACK 8239
[CLIENT] sent ACK 8264
[CLIENT] sent ACK 8291
[CLIENT] sent ACK 8317
[CLIENT] sent ACK 8343
[CLIENT] sent ACK 8370
[CLIENT] sent ACK 8397
[CLIENT] sent ACK 8420
[CLIENT] sent ACK 8445
[CLIENT] sent ACK 8467
[CLIENT] sent ACK 8492
[CLIENT] sent ACK 8517
[CLIENT] sent ACK 8541
[CLIENT] sent ACK 8564
[CLIENT] sent ACK 8587
[CLIENT] sent ACK 8612
[CLIENT] sent ACK 8635
[CLIENT] sent ACK 8661
[CLIENT] sent ACK 8683
[CLIENT] sent ACK 8709
[CLIENT] sent ACK 8733
[CLIENT] sent ACK 8757
[CLIENT] sent ACK 8782
[CLIENT] sent ACK 8804
[CLIENT] sent ACK 8829
[CLIENT] sent ACK 8849
[CLIENT] sent ACK 8874
[CLIENT] sent ACK 8900
[CLIENT] sent ACK 8922
[CLIENT] sent ACK 8947
[CLIENT] sent ACK 8972
[CLIENT] sent ACK 8997
[CLIENT] sent ACK 9021
[CLIENT] sent ACK 9044
[CLIENT] sent ACK 9068
[CLIENT] sent ACK 9092
[CLIENT] sent ACK 9117
[CLIENT] sent ACK 9141
[CLIENT] sent ACK 9166
[CLIENT] sent ACK 9190
[CLIENT] sent ACK 9216
[CLIENT] sent ACK 9241
[CLIENT] sent ACK 9267
[CLIENT] sent ACK 9292
[CLIENT] sent ACK 9315
[CLIENT] sent ACK 9339
[CLIENT] sent ACK 9362
[CLIENT] sent ACK 9386
[CLIENT] sent ACK 9407
[CLIENT] sent ACK 9433
[CLIENT] sent ACK 9455
[CLIENT] sent ACK 9479
[CLIENT] sent ACK 9503
[CLIENT] sent ACK 9526
[CLIENT] sent ACK 9551
[CLIENT] sent ACK 9575
[CLIENT] sent ACK 9600
[CLIENT] sent ACK 9626
[CLIENT] sent ACK 9650
[CLIENT] sent ACK 9673
[CLIENT] sent ACK 9699
[CLIENT] sent ACK 9723
[CLIENT] sent ACK 9749
[CLIENT] sent ACK 9771
[CLIENT] sent ACK 9796
[CLIENT] sent ACK 9810
[CLIENT] sent ACK 9834
[CLIENT] sent ACK 9860
[CLIENT] sent ACK 9885
[CLIENT] sent ACK 9912
[CLIENT] sent ACK 9939
[CLIENT] sent ACK 9966
[CLIENT] sent ACK 9991
[CLIENT] sent ACK 10011
[CLIENT] sent ACK 10036
[CLIENT] sent ACK 10059
[CLIENT] sent ACK 10084
[CLIENT] sent ACK 10109
[CLIENT] sent ACK 10137
[CLIENT] sent ACK 10159
[CLIENT] sent ACK 10183
[CLIENT] sent ACK 10206
[CLIENT] sent ACK 10232
[CLIENT] sent ACK 10255
[CLIENT] sent ACK 10277
[CLIENT] sent ACK 10302
[CLIENT] sent ACK 10328
[CLIENT] sent ACK 10350
[CLIENT] sent ACK 10374
[CLIENT] sent ACK 10400
[CLIENT] sent ACK 10426
[CLIENT] sent ACK 10451
[CLIENT] sent ACK 10472
[CLIENT] sent ACK 10495
[CLIENT] sent ACK 10520
[CLIENT] sent ACK 10546
[CLIENT] sent ACK 10570
[CLIENT] sent ACK 10592
[CLIENT] sent ACK 10615
[CLIENT] sent ACK 10640
[CLIENT] sent ACK 10669
[CLIENT] sent ACK 10692
[CLIENT] sent ACK 10716
[CLIENT] sent ACK 10738
[CLIENT] sent ACK 10763
[CLIENT] sent ACK 10787
[CLIENT] sent ACK 10813
[CLIENT] sent ACK 10834
[CLIENT] sent ACK 10857
[CLIENT] sent ACK 10882
[CLIENT] sent ACK 10906
[CLIENT] sent ACK 10929
[CLIENT] sent ACK 10952
[CLIENT] sent ACK 10976
[CLIENT] sent ACK 11002
[CLIENT] sent ACK 11027
[CLIENT] sent ACK 11049
[CLIENT] sent ACK 11073
[CLIENT] sent ACK 11096
[CLIENT] sent ACK 11119
[CLIENT] sent ACK 11142
[CLIENT] sent ACK 11169
[CLIENT] sent ACK 11192
[CLIENT] sent ACK 11215
[CLIENT] sent ACK 11239
[CLIENT] sent ACK 11265
[CLIENT] sent ACK 11291
[CLIENT] sent ACK 11316
[CLIENT] sent ACK 11340
[CLIENT] sent ACK 11364
[CLIENT] sent ACK 11387
[CLIENT] sent ACK 11410
[CLIENT] sent ACK 11433
[CLIENT] sent ACK 11458
[CLIENT] sent ACK 11483
[CLIENT] sent ACK 11507
[CLIENT] sent ACK 11533
[CLIENT] sent ACK 11558
[CLIENT] sent ACK 11582
[CLIENT] sent ACK 11607
[CLIENT] sent ACK 11629
[CLIENT] sent ACK 11653
[CLIENT] sent ACK 11675
[CLIENT] sent ACK 11699
[CLIENT] sent ACK 11724
[CLIENT] sent ACK 11747
[CLIENT] sent ACK 11773
[CLIENT] sent ACK 11798
[CLIENT] sent ACK 11820
[CLIENT] sent ACK 11843
[CLIENT] sent ACK 11869
[CLIENT] sent ACK 11891
[CLIENT] sent ACK 11918
[CLIENT] sent ACK 11942
[CLIENT] sent ACK 11966
[CLIENT] sent ACK 11991
[CLIENT] sent ACK 12017
[CLIENT] sent ACK 12040
[CLIENT] sent ACK 12064
[CLIENT] sent ACK 12089
[CLIENT] sent ACK 12114
[CLIENT] sent ACK 12138
[CLIENT] sent ACK 12163
[CLIENT] sent ACK 12187
[CLIENT] sent ACK 12211
[CLIENT] sent ACK 12236
[CLIENT] sent ACK 12257
[CLIENT] sent ACK 12280
[CLIENT] sent ACK 12306
[CLIENT] sent ACK 12331
[CLIENT] sent ACK 12353
[CLIENT] sent ACK 12377
[CLIENT] sent ACK 12401
[CLIENT] sent ACK 12424
[CLIENT] sent ACK 12449
[CLIENT] sent ACK 12474
[CLIENT] sent ACK 12500
[CLIENT] sent ACK 12524
[CLIENT] sent ACK 12548
[CLIENT] sent ACK 12574
[CLIENT] sent ACK 12599
[CLIENT] sent ACK 12626
[CLIENT] sent ACK 12647
[CLIENT] sent ACK 12669
[CLIENT] sent ACK 12694
[CLIENT] sent ACK 12718
[CLIENT] sent ACK 12745
[CLIENT] sent ACK 12769
[CLIENT] sent ACK 12790
[CLIENT] sent ACK 12812
[CLIENT] sent ACK 12836
[CLIENT] sent ACK 12862
[CLIENT] sent ACK 12885
[CLIENT] sent ACK 12908
[CLIENT] sent ACK 12932
[CLIENT] sent ACK 12957
[CLIENT] sent ACK 12979
[CLIENT] sent ACK 13006
[CLIENT] sent ACK 13029
[CLIENT] sent ACK 13053
[CLIENT] sent ACK 13078
[CLIENT] sent ACK 13104
[CLIENT] sent ACK 13128
[CLIENT] sent ACK 13152
[CLIENT] sent ACK 13179
[CLIENT] sent ACK 13202
[CLIENT] sent ACK 13226
[CLIENT] sent ACK 13249
[CLIENT] sent ACK 13273
[CLIENT] sent ACK 13296
[CLIENT] sent ACK 13321
[CLIENT] sent ACK 13344
[CLIENT] sent ACK 13367
[CLIENT] sent ACK 13393
[CLIENT] sent ACK 13416
[CLIENT] sent ACK 13441
[CLIENT] sent ACK 13465
[CLIENT] sent ACK 13490
[CLIENT] sent ACK 13511
[CLIENT] sent ACK 13534
[CLIENT] sent ACK 13559
[CLIENT] sent ACK 13584
[CLIENT] sent ACK 13609
[CLIENT] sent ACK 13634
[CLIENT] sent ACK 13657
[CLIENT] sent ACK 13682
[CLIENT] sent ACK 13706
[CLIENT] sent ACK 13732
[CLIENT] sent ACK 13755
[CLIENT] sent ACK 13778
[CLIENT] sent ACK 13802
[CLIENT] sent ACK 13827
[CLIENT] sent ACK 13852
[CLIENT] sent ACK 13876
[CLIENT] sent ACK 13902
[CLIENT] sent ACK 13927
[CLIENT] sent ACK 13951
[CLIENT] sent ACK 13972
[CLIENT] sent ACK 13997
[CLIENT] sent ACK 14019
[CLIENT] sent ACK 14045
