Script started on 2026-04-22 17:12:38+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && { /usr/bin/time -p sudo PYTHONPATH=. python3 -u main.py --mode client --config config_phase1.json --file ./gdrive-folder/test_10mb_file; } 2>&1" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[CLIENT] running on 172.31.64.201:50000
[CLIENT] talking to server 172.31.77.14:50000
[CLIENT] sent ClientHello
[CLIENT] Handshake complete
[CLIENT] requested file: ./gdrive-folder/test_10mb_file
[CLIENT] sent ACK 7
[CLIENT] sent ACK 33
[CLIENT] sent ACK 58
[CLIENT] sent ACK 83
[CLIENT] sent ACK 109
[CLIENT] sent ACK 133
[CLIENT] sent ACK 157
[CLIENT] sent ACK 182
[CLIENT] sent ACK 206
[CLIENT] sent ACK 230
[CLIENT] sent ACK 254
[CLIENT] sent ACK 280
[CLIENT] sent ACK 303
[CLIENT] sent ACK 328
[CLIENT] sent ACK 353
[CLIENT] sent ACK 378
[CLIENT] sent ACK 403
[CLIENT] sent ACK 423
[CLIENT] sent ACK 448
[CLIENT] sent ACK 473
[CLIENT] sent ACK 498
[CLIENT] sent ACK 520
[CLIENT] sent ACK 545
[CLIENT] sent ACK 565
[CLIENT] sent ACK 589
[CLIENT] sent ACK 613
[CLIENT] sent ACK 636
[CLIENT] sent ACK 660
[CLIENT] sent ACK 684
[CLIENT] sent ACK 710
[CLIENT] sent ACK 732
[CLIENT] sent ACK 755
[CLIENT] sent ACK 781
[CLIENT] sent ACK 805
[CLIENT] sent ACK 829
[CLIENT] sent ACK 852
[CLIENT] sent ACK 875
[CLIENT] sent ACK 898
[CLIENT] sent ACK 921
[CLIENT] sent ACK 946
[CLIENT] sent ACK 969
[CLIENT] sent ACK 993
[CLIENT] sent ACK 1017
[CLIENT] sent ACK 1040
[CLIENT] sent ACK 1064
[CLIENT] sent ACK 1086
[CLIENT] sent ACK 1107
[CLIENT] sent ACK 1129
[CLIENT] sent ACK 1154
[CLIENT] sent ACK 1179
[CLIENT] sent ACK 1203
[CLIENT] sent ACK 1224
[CLIENT] sent ACK 1249
[CLIENT] sent ACK 1273
[CLIENT] sent ACK 1297
[CLIENT] sent ACK 1322
[CLIENT] sent ACK 1344
[CLIENT] sent ACK 1367
[CLIENT] sent ACK 1391
[CLIENT] sent ACK 1416
[CLIENT] sent ACK 1440
[CLIENT] sent ACK 1461
[CLIENT] sent ACK 1486
[CLIENT] sent ACK 1510
[CLIENT] sent ACK 1534
[CLIENT] sent ACK 1558
[CLIENT] sent ACK 1581
[CLIENT] sent ACK 1605
[CLIENT] sent ACK 1630
[CLIENT] sent ACK 1654
[CLIENT] sent ACK 1679
[CLIENT] sent ACK 1702
[CLIENT] sent ACK 1728
[CLIENT] sent ACK 1751
[CLIENT] sent ACK 1776
[CLIENT] sent ACK 1802
[CLIENT] sent ACK 1824
[CLIENT] sent ACK 1848
[CLIENT] sent ACK 1871
[CLIENT] sent ACK 1896
[CLIENT] sent ACK 1921
[CLIENT] sent ACK 1945
[CLIENT] sent ACK 1969
[CLIENT] sent ACK 1991
[CLIENT] sent ACK 2015
[CLIENT] sent ACK 2042
[CLIENT] sent ACK 2064
[CLIENT] sent ACK 2088
[CLIENT] sent ACK 2115
[CLIENT] sent ACK 2137
[CLIENT] sent ACK 2161
[CLIENT] sent ACK 2183
[CLIENT] sent ACK 2208
[CLIENT] sent ACK 2233
[CLIENT] sent ACK 2257
[CLIENT] sent ACK 2281
[CLIENT] sent ACK 2303
[CLIENT] sent ACK 2327
[CLIENT] sent ACK 2351
[CLIENT] sent ACK 2375
[CLIENT] sent ACK 2400
[CLIENT] sent ACK 2423
[CLIENT] sent ACK 2446
[CLIENT] sent ACK 2471
[CLIENT] sent ACK 2496
[CLIENT] sent ACK 2519
[CLIENT] sent ACK 2541
[CLIENT] sent ACK 2564
[CLIENT] sent ACK 2587
[CLIENT] sent ACK 2611
[CLIENT] sent ACK 2634
[CLIENT] sent ACK 2658
[CLIENT] sent ACK 2682
[CLIENT] sent ACK 2707
[CLIENT] sent ACK 2729
[CLIENT] sent ACK 2754
[CLIENT] sent ACK 2777
[CLIENT] sent ACK 2802
[CLIENT] sent ACK 2826
[CLIENT] sent ACK 2850
[CLIENT] sent ACK 2873
[CLIENT] sent ACK 2894
[CLIENT] sent ACK 2919
[CLIENT] sent ACK 2943
[CLIENT] sent ACK 2967
[CLIENT] sent ACK 2991
[CLIENT] sent ACK 3012
[CLIENT] sent ACK 3036
[CLIENT] sent ACK 3060
[CLIENT] sent ACK 3085
[CLIENT] sent ACK 3108
[CLIENT] sent ACK 3130
[CLIENT] sent ACK 3155
[CLIENT] sent ACK 3179
[CLIENT] sent ACK 3203
[CLIENT] sent ACK 3228
[CLIENT] sent ACK 3249
[CLIENT] sent ACK 3273
[CLIENT] sent ACK 3297
[CLIENT] sent ACK 3322
[CLIENT] sent ACK 3344
[CLIENT] sent ACK 3366
[CLIENT] sent ACK 3390
[CLIENT] sent ACK 3415
[CLIENT] sent ACK 3439
[CLIENT] sent ACK 3464
[CLIENT] sent ACK 3489
[CLIENT] sent ACK 3513
[CLIENT] sent ACK 3537
[CLIENT] sent ACK 3563
[CLIENT] sent ACK 3587
[CLIENT] sent ACK 3610
[CLIENT] sent ACK 3634
[CLIENT] sent ACK 3657
[CLIENT] sent ACK 3682
[CLIENT] sent ACK 3704
[CLIENT] sent ACK 3727
[CLIENT] sent ACK 3751
[CLIENT] sent ACK 3776
[CLIENT] sent ACK 3802
[CLIENT] sent ACK 3825
[CLIENT] sent ACK 3848
[CLIENT] sent ACK 3875
[CLIENT] sent ACK 3901
[CLIENT] sent ACK 3926
[CLIENT] sent ACK 3948
[CLIENT] sent ACK 3971
[CLIENT] sent ACK 3994
[CLIENT] sent ACK 4018
[CLIENT] sent ACK 4041
[CLIENT] sent ACK 4064
[CLIENT] sent ACK 4086
[CLIENT] sent ACK 4111
[CLIENT] sent ACK 4137
[CLIENT] sent ACK 4159
[CLIENT] sent ACK 4182
[CLIENT] sent ACK 4206
[CLIENT] sent ACK 4229
[CLIENT] sent ACK 4254
[CLIENT] sent ACK 4280
[CLIENT] sent ACK 4302
[CLIENT] sent ACK 4325
[CLIENT] sent ACK 4350
[CLIENT] sent ACK 4374
[CLIENT] sent ACK 4397
[CLIENT] sent ACK 4419
[CLIENT] sent ACK 4442
[CLIENT] sent ACK 4464
[CLIENT] sent ACK 4489
[CLIENT] sent ACK 4513
[CLIENT] sent ACK 4535
[CLIENT] sent ACK 4558
[CLIENT] sent ACK 4582
[CLIENT] sent ACK 4606
[CLIENT] sent ACK 4629
[CLIENT] sent ACK 4654
[CLIENT] sent ACK 4678
[CLIENT] sent ACK 4701
[CLIENT] sent ACK 4723
[CLIENT] sent ACK 4746
[CLIENT] sent ACK 4769
[CLIENT] sent ACK 4792
[CLIENT] sent ACK 4812
[CLIENT] sent ACK 4835
[CLIENT] sent ACK 4858
[CLIENT] sent ACK 4883
[CLIENT] sent ACK 4907
[CLIENT] sent ACK 4930
[CLIENT] sent ACK 4952
[CLIENT] sent ACK 4975
[CLIENT] sent ACK 4997
[CLIENT] sent ACK 5023
[CLIENT] sent ACK 5047
[CLIENT] sent ACK 5071
[CLIENT] sent ACK 5095
[CLIENT] sent ACK 5119
[CLIENT] sent ACK 5141
[CLIENT] sent ACK 5166
[CLIENT] sent ACK 5190
[CLIENT] sent ACK 5214
[CLIENT] sent ACK 5238
[CLIENT] sent ACK 5262
[CLIENT] sent ACK 5286
[CLIENT] sent ACK 5310
[CLIENT] sent ACK 5335
[CLIENT] sent ACK 5360
[CLIENT] sent ACK 5384
[CLIENT] sent ACK 5408
[CLIENT] sent ACK 5432
[CLIENT] sent ACK 5458
[CLIENT] sent ACK 5482
[CLIENT] sent ACK 5505
[CLIENT] sent ACK 5531
[CLIENT] sent ACK 5555
[CLIENT] sent ACK 5579
[CLIENT] sent ACK 5604
[CLIENT] sent ACK 5628
[CLIENT] sent ACK 5652
[CLIENT] sent ACK 5673
[CLIENT] sent ACK 5696
[CLIENT] sent ACK 5721
[CLIENT] sent ACK 5744
[CLIENT] sent ACK 5770
[CLIENT] sent ACK 5794
[CLIENT] sent ACK 5815
[CLIENT] sent ACK 5838
[CLIENT] sent ACK 5862
[CLIENT] sent ACK 5885
[CLIENT] sent ACK 5910
[CLIENT] sent ACK 5935
[CLIENT] sent ACK 5960
[CLIENT] sent ACK 5985
[CLIENT] sent ACK 6009
[CLIENT] sent ACK 6034
[CLIENT] sent ACK 6058
[CLIENT] sent ACK 6081
[CLIENT] sent ACK 6103
[CLIENT] sent ACK 6126
[CLIENT] sent ACK 6147
[CLIENT] sent ACK 6171
[CLIENT] sent ACK 6195
[CLIENT] sent ACK 6219
[CLIENT] sent ACK 6245
[CLIENT] sent ACK 6269
[CLIENT] sent ACK 6296
[CLIENT] sent ACK 6319
[CLIENT] sent ACK 6343
[CLIENT] sent ACK 6368
[CLIENT] sent ACK 6392
[CLIENT] sent ACK 6418
[CLIENT] sent ACK 6437
[CLIENT] sent ACK 6460
[CLIENT] sent ACK 6484
[CLIENT] sent ACK 6508
[CLIENT] sent ACK 6533
[CLIENT] sent ACK 6559
[CLIENT] sent ACK 6582
[CLIENT] sent ACK 6611
[CLIENT] sent ACK 6636
[CLIENT] sent ACK 6663
[CLIENT] sent ACK 6686
[CLIENT] sent ACK 6713
[CLIENT] sent ACK 6735
[CLIENT] sent ACK 6760
[CLIENT] sent ACK 6785
[CLIENT] sent ACK 6809
[CLIENT] sent ACK 6832
[CLIENT] sent ACK 6858
[CLIENT] sent ACK 6882
[CLIENT] sent ACK 6907
[CLIENT] sent ACK 6931
[CLIENT] sent ACK 6956
[CLIENT] sent ACK 6984
[CLIENT] sent ACK 7008
[CLIENT] sent ACK 7034
[CLIENT] sent ACK 7058
[CLIENT] sent ACK 7081
[CLIENT] sent ACK 7103
[CLIENT] sent ACK 7126
[CLIENT] sent ACK 7150
[CLIENT] sent ACK 7176
[CLIENT] sent ACK 7200
[CLIENT] sent ACK 7226
[CLIENT] sent ACK 7251
[CLIENT] sent ACK 7276
[CLIENT] sent ACK 7302
[CLIENT] sent ACK 7328
[CLIENT] sent ACK 7353
[CLIENT] sent ACK 7378
[CLIENT] sent ACK 7401
[CLIENT] sent ACK 7425
[CLIENT] sent ACK 7448
[CLIENT] sent ACK 7471
[CLIENT] sent ACK 7490
[CLIENT] sent ACK 7491
[CLIENT] SHA-256 match: True

==================================================
CLIENT REPORT
==================================================
Security enabled (PSK + AEAD):            Yes
Handshake status:                         Success
Size of the transferred file:             10485760 bytes
Number of packets received from server:   7490
Number of duplicate packets:              58
Replay drops:                             58
Number of out-of-order packets:           0
Number of packets with checksum errors:   0
Time duration of the file transfer:       00:00:03
Received file MD5:                        f1c9645dbc14efddc7d8a322685f26eb
AEAD authentication failures:             0
SHA-256 match:                            Yes
==================================================

[CLIENT] Report saved to client_report.txt
[CLIENT] file saved as received_test_10mb_file
real 8.09
user 0.01
sys 0.02

Script done on 2026-04-22 17:12:46+00:00 [COMMAND_EXIT_CODE="0"]
