Script started on 2026-04-22 17:25:49+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && { /usr/bin/time -p sudo PYTHONPATH=. python3 -u main.py --mode client --config config_phase1.json --file ./gdrive-folder/test_1gb_file; } 2>&1" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[CLIENT] running on 172.31.64.201:50000
[CLIENT] talking to server 172.31.77.14:50000
[CLIENT] sent ClientHello
[CLIENT] Handshake complete
[CLIENT] requested file: ./gdrive-folder/test_1gb_file
[CLIENT] sent ACK 5
[CLIENT] sent ACK 28
[CLIENT] sent ACK 52
[CLIENT] sent ACK 79
[CLIENT] sent ACK 104
[CLIENT] sent ACK 129
[CLIENT] sent ACK 156
[CLIENT] sent ACK 183
[CLIENT] sent ACK 207
[CLIENT] sent ACK 233
[CLIENT] sent ACK 258
[CLIENT] sent ACK 280
[CLIENT] sent ACK 304
[CLIENT] sent ACK 327
[CLIENT] sent ACK 353
[CLIENT] sent ACK 380
[CLIENT] sent ACK 407
[CLIENT] sent ACK 432
[CLIENT] sent ACK 458
[CLIENT] sent ACK 483
[CLIENT] sent ACK 510
[CLIENT] sent ACK 531
[CLIENT] sent ACK 555
[CLIENT] sent ACK 579
[CLIENT] sent ACK 604
[CLIENT] sent ACK 627
[CLIENT] sent ACK 648
[CLIENT] sent ACK 672
[CLIENT] sent ACK 698
[CLIENT] sent ACK 725
[CLIENT] sent ACK 753
[CLIENT] sent ACK 779
[CLIENT] sent ACK 805
[CLIENT] sent ACK 831
[CLIENT] sent ACK 854
[CLIENT] sent ACK 877
[CLIENT] sent ACK 900
[CLIENT] sent ACK 922
[CLIENT] sent ACK 947
[CLIENT] sent ACK 971
[CLIENT] sent ACK 996
[CLIENT] sent ACK 1020
[CLIENT] sent ACK 1043
[CLIENT] sent ACK 1066
[CLIENT] sent ACK 1088
[CLIENT] sent ACK 1111
[CLIENT] sent ACK 1135
[CLIENT] sent ACK 1159
[CLIENT] sent ACK 1185
[CLIENT] sent ACK 1211
[CLIENT] sent ACK 1237
[CLIENT] sent ACK 1264
[CLIENT] sent ACK 1290
[CLIENT] sent ACK 1315
[CLIENT] sent ACK 1339
[CLIENT] sent ACK 1355
[CLIENT] sent ACK 1373
[CLIENT] sent ACK 1398
[CLIENT] sent ACK 1421
[CLIENT] sent ACK 1450
[CLIENT] sent ACK 1474
[CLIENT] sent ACK 1500
[CLIENT] sent ACK 1526
[CLIENT] sent ACK 1550
[CLIENT] sent ACK 1576
[CLIENT] sent ACK 1600
[CLIENT] sent ACK 1626
[CLIENT] sent ACK 1651
[CLIENT] sent ACK 1677
[CLIENT] sent ACK 1702
[CLIENT] sent ACK 1728
[CLIENT] sent ACK 1752
[CLIENT] sent ACK 1777
[CLIENT] sent ACK 1801
[CLIENT] sent ACK 1823
[CLIENT] sent ACK 1846
[CLIENT] sent ACK 1870
[CLIENT] sent ACK 1896
[CLIENT] sent ACK 1917
[CLIENT] sent ACK 1940
[CLIENT] sent ACK 1963
[CLIENT] sent ACK 1987
[CLIENT] sent ACK 2013
[CLIENT] sent ACK 2037
[CLIENT] sent ACK 2063
[CLIENT] sent ACK 2087
[CLIENT] sent ACK 2112
[CLIENT] sent ACK 2133
[CLIENT] sent ACK 2157
[CLIENT] sent ACK 2180
[CLIENT] sent ACK 2204
[CLIENT] sent ACK 2227
[CLIENT] sent ACK 2251
[CLIENT] sent ACK 2275
[CLIENT] sent ACK 2297
[CLIENT] sent ACK 2321
[CLIENT] sent ACK 2345
[CLIENT] sent ACK 2371
[CLIENT] sent ACK 2396
[CLIENT] sent ACK 2418
[CLIENT] sent ACK 2441
[CLIENT] sent ACK 2466
[CLIENT] sent ACK 2491
[CLIENT] sent ACK 2515
[CLIENT] sent ACK 2540
[CLIENT] sent ACK 2564
[CLIENT] sent ACK 2588
[CLIENT] sent ACK 2612
[CLIENT] sent ACK 2635
[CLIENT] sent ACK 2658
[CLIENT] sent ACK 2680
[CLIENT] sent ACK 2701
[CLIENT] sent ACK 2726
[CLIENT] sent ACK 2751
[CLIENT] sent ACK 2773
[CLIENT] sent ACK 2799
[CLIENT] sent ACK 2823
[CLIENT] sent ACK 2847
[CLIENT] sent ACK 2872
[CLIENT] sent ACK 2896
[CLIENT] sent ACK 2919
[CLIENT] sent ACK 2943
[CLIENT] sent ACK 2967
[CLIENT] sent ACK 2992
[CLIENT] sent ACK 3015
[CLIENT] sent ACK 3039
[CLIENT] sent ACK 3062
[CLIENT] sent ACK 3085
[CLIENT] sent ACK 3109
[CLIENT] sent ACK 3131
[CLIENT] sent ACK 3156
[CLIENT] sent ACK 3181
[CLIENT] sent ACK 3203
[CLIENT] sent ACK 3229
[CLIENT] sent ACK 3253
[CLIENT] sent ACK 3278
[CLIENT] sent ACK 3302
[CLIENT] sent ACK 3327
[CLIENT] sent ACK 3351
[CLIENT] sent ACK 3374
[CLIENT] sent ACK 3398
[CLIENT] sent ACK 3422
[CLIENT] sent ACK 3447
[CLIENT] sent ACK 3471
[CLIENT] sent ACK 3495
[CLIENT] sent ACK 3520
[CLIENT] sent ACK 3543
[CLIENT] sent ACK 3566
[CLIENT] sent ACK 3589
[CLIENT] sent ACK 3613
[CLIENT] sent ACK 3637
[CLIENT] sent ACK 3662
[CLIENT] sent ACK 3685
[CLIENT] sent ACK 3709
[CLIENT] sent ACK 3732
[CLIENT] sent ACK 3755
[CLIENT] sent ACK 3780
[CLIENT] sent ACK 3805
[CLIENT] sent ACK 3832
[CLIENT] sent ACK 3855
[CLIENT] sent ACK 3879
[CLIENT] sent ACK 3903
[CLIENT] sent ACK 3928
[CLIENT] sent ACK 3952
[CLIENT] sent ACK 3976
[CLIENT] sent ACK 3999
[CLIENT] sent ACK 4024
[CLIENT] sent ACK 4046
[CLIENT] sent ACK 4070
[CLIENT] sent ACK 4095
[CLIENT] sent ACK 4121
[CLIENT] sent ACK 4145
[CLIENT] sent ACK 4169
[CLIENT] sent ACK 4194
[CLIENT] sent ACK 4218
[CLIENT] sent ACK 4243
[CLIENT] sent ACK 4267
[CLIENT] sent ACK 4291
[CLIENT] sent ACK 4312
[CLIENT] sent ACK 4336
[CLIENT] sent ACK 4362
[CLIENT] sent ACK 4387
[CLIENT] sent ACK 4411
[CLIENT] sent ACK 4435
[CLIENT] sent ACK 4459
[CLIENT] sent ACK 4483
[CLIENT] sent ACK 4507
[CLIENT] sent ACK 4532
[CLIENT] sent ACK 4557
[CLIENT] sent ACK 4579
[CLIENT] sent ACK 4603
[CLIENT] sent ACK 4628
[CLIENT] sent ACK 4653
[CLIENT] sent ACK 4678
[CLIENT] sent ACK 4700
[CLIENT] sent ACK 4726
[CLIENT] sent ACK 4750
[CLIENT] sent ACK 4774
[CLIENT] sent ACK 4799
[CLIENT] sent ACK 4823
[CLIENT] sent ACK 4845
[CLIENT] sent ACK 4868
[CLIENT] sent ACK 4892
[CLIENT] sent ACK 4916
[CLIENT] sent ACK 4942
[CLIENT] sent ACK 4965
[CLIENT] sent ACK 4989
[CLIENT] sent ACK 5014
[CLIENT] sent ACK 5040
[CLIENT] sent ACK 5062
[CLIENT] sent ACK 5086
[CLIENT] sent ACK 5110
[CLIENT] sent ACK 5135
[CLIENT] sent ACK 5158
[CLIENT] sent ACK 5182
[CLIENT] sent ACK 5207
[CLIENT] sent ACK 5231
[CLIENT] sent ACK 5256
[CLIENT] sent ACK 5278
[CLIENT] sent ACK 5305
[CLIENT] sent ACK 5330
[CLIENT] sent ACK 5356
[CLIENT] sent ACK 5380
[CLIENT] sent ACK 5403
[CLIENT] sent ACK 5428
[CLIENT] sent ACK 5452
[CLIENT] sent ACK 5477
[CLIENT] sent ACK 5501
[CLIENT] sent ACK 5526
[CLIENT] sent ACK 5552
[CLIENT] sent ACK 5577
[CLIENT] sent ACK 5602
[CLIENT] sent ACK 5627
[CLIENT] sent ACK 5653
[CLIENT] sent ACK 5678
[CLIENT] sent ACK 5704
[CLIENT] sent ACK 5733
[CLIENT] sent ACK 5758
[CLIENT] sent ACK 5783
[CLIENT] sent ACK 5809
[CLIENT] sent ACK 5834
[CLIENT] sent ACK 5858
[CLIENT] sent ACK 5882
[CLIENT] sent ACK 5903
[CLIENT] sent ACK 5928
[CLIENT] sent ACK 5952
[CLIENT] sent ACK 5975
[CLIENT] sent ACK 5999
[CLIENT] sent ACK 6023
[CLIENT] sent ACK 6047
[CLIENT] sent ACK 6070
[CLIENT] sent ACK 6094
[CLIENT] sent ACK 6118
[CLIENT] sent ACK 6140
[CLIENT] sent ACK 6165
[CLIENT] sent ACK 6189
[CLIENT] sent ACK 6213
[CLIENT] sent ACK 6237
[CLIENT] sent ACK 6260
[CLIENT] sent ACK 6284
[CLIENT] sent ACK 6308
[CLIENT] sent ACK 6332
[CLIENT] sent ACK 6355
[CLIENT] sent ACK 6379
[CLIENT] sent ACK 6405
[CLIENT] sent ACK 6430
[CLIENT] sent ACK 6455
[CLIENT] sent ACK 6481
[CLIENT] sent ACK 6505
[CLIENT] sent ACK 6530
[CLIENT] sent ACK 6556
[CLIENT] sent ACK 6582
[CLIENT] sent ACK 6605
[CLIENT] sent ACK 6627
[CLIENT] sent ACK 6652
[CLIENT] sent ACK 6674
[CLIENT] sent ACK 6699
[CLIENT] sent ACK 6722
[CLIENT] sent ACK 6743
[CLIENT] sent ACK 6767
[CLIENT] sent ACK 6795
[CLIENT] sent ACK 6820
[CLIENT] sent ACK 6844
[CLIENT] sent ACK 6868
[CLIENT] sent ACK 6892
[CLIENT] sent ACK 6918
[CLIENT] sent ACK 6945
[CLIENT] sent ACK 6968
[CLIENT] sent ACK 6993
[CLIENT] sent ACK 7019
[CLIENT] sent ACK 7044
[CLIENT] sent ACK 7068
[CLIENT] sent ACK 7094
[CLIENT] sent ACK 7119
[CLIENT] sent ACK 7144
[CLIENT] sent ACK 7169
[CLIENT] sent ACK 7193
[CLIENT] sent ACK 7214
[CLIENT] sent ACK 7239
[CLIENT] sent ACK 7262
[CLIENT] sent ACK 7287
[CLIENT] sent ACK 7311
[CLIENT] sent ACK 7333
[CLIENT] sent ACK 7357
[CLIENT] sent ACK 7381
[CLIENT] sent ACK 7405
[CLIENT] sent ACK 7431
[CLIENT] sent ACK 7457
[CLIENT] sent ACK 7477
[CLIENT] sent ACK 7501
[CLIENT] sent ACK 7525
[CLIENT] sent ACK 7550
[CLIENT] sent ACK 7575
[CLIENT] sent ACK 7597
[CLIENT] sent ACK 7621
[CLIENT] sent ACK 7646
[CLIENT] sent ACK 7670
[CLIENT] sent ACK 7696
[CLIENT] sent ACK 7719
[CLIENT] sent ACK 7745
[CLIENT] sent ACK 7770
[CLIENT] sent ACK 7795
[CLIENT] sent ACK 7820
[CLIENT] sent ACK 7843
[CLIENT] sent ACK 7865
[CLIENT] sent ACK 7889
[CLIENT] sent ACK 7914
[CLIENT] sent ACK 7937
[CLIENT] sent ACK 7959
[CLIENT] sent ACK 7984
[CLIENT] sent ACK 8007
[CLIENT] sent ACK 8030
[CLIENT] sent ACK 8054
[CLIENT] sent ACK 8076
[CLIENT] sent ACK 8101
[CLIENT] sent ACK 8126
[CLIENT] sent ACK 8150
[CLIENT] sent ACK 8174
[CLIENT] sent ACK 8195
[CLIENT] sent ACK 8219
[CLIENT] sent ACK 8244
[CLIENT] sent ACK 8269
[CLIENT] sent ACK 8294
[CLIENT] sent ACK 8317
[CLIENT] sent ACK 8340
[CLIENT] sent ACK 8363
[CLIENT] sent ACK 8386
[CLIENT] sent ACK 8410
[CLIENT] sent ACK 8433
[CLIENT] sent ACK 8458
[CLIENT] sent ACK 8482
[CLIENT] sent ACK 8506
[CLIENT] sent ACK 8530
[CLIENT] sent ACK 8553
[CLIENT] sent ACK 8578
[CLIENT] sent ACK 8602
[CLIENT] sent ACK 8626
[CLIENT] sent ACK 8649
[CLIENT] sent ACK 8672
[CLIENT] sent ACK 8698
[CLIENT] sent ACK 8721
[CLIENT] sent ACK 8747
[CLIENT] sent ACK 8770
[CLIENT] sent ACK 8794
[CLIENT] sent ACK 8818
[CLIENT] sent ACK 8842
[CLIENT] sent ACK 8866
[CLIENT] sent ACK 8891
[CLIENT] sent ACK 8915
[CLIENT] sent ACK 8939
[CLIENT] sent ACK 8965
[CLIENT] sent ACK 8985
[CLIENT] sent ACK 9009
[CLIENT] sent ACK 9034
[CLIENT] sent ACK 9060
[CLIENT] sent ACK 9085
[CLIENT] sent ACK 9109
[CLIENT] sent ACK 9136
[CLIENT] sent ACK 9158
[CLIENT] sent ACK 9182
[CLIENT] sent ACK 9205
[CLIENT] sent ACK 9228
[CLIENT] sent ACK 9251
[CLIENT] sent ACK 9275
[CLIENT] sent ACK 9300
[CLIENT] sent ACK 9327
[CLIENT] sent ACK 9352
[CLIENT] sent ACK 9375
[CLIENT] sent ACK 9398
[CLIENT] sent ACK 9422
[CLIENT] sent ACK 9446
[CLIENT] sent ACK 9470
[CLIENT] sent ACK 9494
[CLIENT] sent ACK 9518
[CLIENT] sent ACK 9542
[CLIENT] sent ACK 9566
[CLIENT] sent ACK 9590
[CLIENT] sent ACK 9615
[CLIENT] sent ACK 9637
[CLIENT] sent ACK 9660
[CLIENT] sent ACK 9683
[CLIENT] sent ACK 9708
[CLIENT] sent ACK 9733
[CLIENT] sent ACK 9756
[CLIENT] sent ACK 9781
[CLIENT] sent ACK 9806
[CLIENT] sent ACK 9830
[CLIENT] sent ACK 9854
[CLIENT] sent ACK 9877
[CLIENT] sent ACK 9901
[CLIENT] sent ACK 9925
[CLIENT] sent ACK 9950
[CLIENT] sent ACK 9975
[CLIENT] sent ACK 9999
[CLIENT] sent ACK 10023
[CLIENT] sent ACK 10049
[CLIENT] sent ACK 10072
[CLIENT] sent ACK 10096
[CLIENT] sent ACK 10120
[CLIENT] sent ACK 10144
[CLIENT] sent ACK 10167
[CLIENT] sent ACK 10193
[CLIENT] sent ACK 10217
[CLIENT] sent ACK 10239
[CLIENT] sent ACK 10263
[CLIENT] sent ACK 10288
[CLIENT] sent ACK 10314
[CLIENT] sent ACK 10338
[CLIENT] sent ACK 10363
[CLIENT] sent ACK 10387
[CLIENT] sent ACK 10413
[CLIENT] sent ACK 10437
[CLIENT] sent ACK 10462
[CLIENT] sent ACK 10483
[CLIENT] sent ACK 10507
[CLIENT] sent ACK 10531
[CLIENT] sent ACK 10554
[CLIENT] sent ACK 10576
[CLIENT] sent ACK 10599
[CLIENT] sent ACK 10622
[CLIENT] sent ACK 10647
[CLIENT] sent ACK 10674
[CLIENT] sent ACK 10698
[CLIENT] sent ACK 10723
[CLIENT] sent ACK 10748
[CLIENT] sent ACK 10771
[CLIENT] sent ACK 10796
[CLIENT] sent ACK 10819
[CLIENT] sent ACK 10843
[CLIENT] sent ACK 10867
[CLIENT] sent ACK 10891
[CLIENT] sent ACK 10916
[CLIENT] sent ACK 10939
[CLIENT] sent ACK 10955
[CLIENT] sent ACK 10978
[CLIENT] sent ACK 11004
[CLIENT] sent ACK 11029
[CLIENT] sent ACK 11053
[CLIENT] sent ACK 11077
[CLIENT] sent ACK 11102
[CLIENT] sent ACK 11125
[CLIENT] sent ACK 11150
[CLIENT] sent ACK 11175
[CLIENT] sent ACK 11199
[CLIENT] sent ACK 11224
[CLIENT] sent ACK 11249
[CLIENT] sent ACK 11275
[CLIENT] sent ACK 11301
[CLIENT] sent ACK 11325
[CLIENT] sent ACK 11349
[CLIENT] sent ACK 11371
[CLIENT] sent ACK 11399
[CLIENT] sent ACK 11423
[CLIENT] sent ACK 11448
[CLIENT] sent ACK 11475
[CLIENT] sent ACK 11499
[CLIENT] sent ACK 11522
[CLIENT] sent ACK 11544
[CLIENT] sent ACK 11570
[CLIENT] sent ACK 11594
[CLIENT] sent ACK 11619
[CLIENT] sent ACK 11643
[CLIENT] sent ACK 11666
[CLIENT] sent ACK 11691
[CLIENT] sent ACK 11715
[CLIENT] sent ACK 11740
[CLIENT] sent ACK 11764
[CLIENT] sent ACK 11787
[CLIENT] sent ACK 11813
[CLIENT] sent ACK 11838
[CLIENT] sent ACK 11863
[CLIENT] sent ACK 11890
[CLIENT] sent ACK 11917
[CLIENT] sent ACK 11941
[CLIENT] sent ACK 11965
[CLIENT] sent ACK 11990
[CLIENT] sent ACK 12015
[CLIENT] sent ACK 12038
[CLIENT] sent ACK 12061
[CLIENT] sent ACK 12084
[CLIENT] sent ACK 12110
[CLIENT] sent ACK 12135
[CLIENT] sent ACK 12160
[CLIENT] sent ACK 12183
[CLIENT] sent ACK 12206
[CLIENT] sent ACK 12232
[CLIENT] sent ACK 12257
[CLIENT] sent ACK 12280
[CLIENT] sent ACK 12306
[CLIENT] sent ACK 12330
[CLIENT] sent ACK 12355
[CLIENT] sent ACK 12379
[CLIENT] sent ACK 12404
[CLIENT] sent ACK 12428
[CLIENT] sent ACK 12450
[CLIENT] sent ACK 12465
[CLIENT] sent ACK 12491
[CLIENT] sent ACK 12517
[CLIENT] sent ACK 12539
[CLIENT] sent ACK 12563
[CLIENT] sent ACK 12587
[CLIENT] sent ACK 12612
[CLIENT] sent ACK 12639
[CLIENT] sent ACK 12664
[CLIENT] sent ACK 12689
[CLIENT] sent ACK 12716
[CLIENT] sent ACK 12744
[CLIENT] sent ACK 12769
[CLIENT] sent ACK 12796
[CLIENT] sent ACK 12822
[CLIENT] sent ACK 12848
[CLIENT] sent ACK 12873
[CLIENT] sent ACK 12898
[CLIENT] sent ACK 12923
[CLIENT] sent ACK 12949
[CLIENT] sent ACK 12974
[CLIENT] sent ACK 13001
[CLIENT] sent ACK 13028
[CLIENT] sent ACK 13054
[CLIENT] sent ACK 13083
[CLIENT] sent ACK 13110
[CLIENT] sent ACK 13137
[CLIENT] sent ACK 13161
[CLIENT] sent ACK 13186
[CLIENT] sent ACK 13210
[CLIENT] sent ACK 13234
[CLIENT] sent ACK 13259
[CLIENT] sent ACK 13282
[CLIENT] sent ACK 13308
[CLIENT] sent ACK 13331
[CLIENT] sent ACK 13356
[CLIENT] sent ACK 13381
[CLIENT] sent ACK 13406
[CLIENT] sent ACK 13431
[CLIENT] sent ACK 13455
[CLIENT] sent ACK 13478
[CLIENT] sent ACK 13503
[CLIENT] sent ACK 13528
[CLIENT] sent ACK 13553
[CLIENT] sent ACK 13577
[CLIENT] sent ACK 13600
[CLIENT] sent ACK 13624
[CLIENT] sent ACK 13649
[CLIENT] sent ACK 13672
[CLIENT] sent ACK 13693
[CLIENT] sent ACK 13718
[CLIENT] sent ACK 13742
[CLIENT] sent ACK 13765
[CLIENT] sent ACK 13789
[CLIENT] sent ACK 13812
[CLIENT] sent ACK 13835
[CLIENT] sent ACK 13861
